Genus,Phylum,Sp,Strain,Assembly,Phyla
Calocera,Basidiomycota,cornea,HHB12733,GCA_001632435.1,1
Cantharellus,Basidiomycota,anzutake,C23,GCA_015039405.1,1
Cantharellus,Basidiomycota,anzutake,C23,GCF_015039405.1,1
Cantharellus,Basidiomycota,purpuraceus,GAF-M-20071601,GCA_025174535.1,1
Cantharellus,Basidiomycota,cinnabarinus,MG28,GCA_003314235.1,1
Cantharellus,Basidiomycota,cibarius,MG75,GCA_003521295.1,1
Cantharellus,Basidiomycota,appalachiensis,MG38,GCA_003314335.1,1
Cantharellus,Basidiomycota,lutescens,MG144,GCA_003314295.1,1
Ceraceosorus,Basidiomycota,guamensis,MCA.4658,GCA_003144195.1,1
Ceraceosorus,Basidiomycota,guamensis,MCA.4658,GCF_003144195.1,1
Ceraceosorus,Basidiomycota,bombacis,NA,GCA_900000165.1,1
Ceratobasidium,Basidiomycota,sp.,AG-Ba,GCA_016906575.1,1
Ceratobasidium,Basidiomycota,theobromae,CT2,GCA_009078325.1,1
Ceratobasidium,Basidiomycota,sp.,GS6,GCA_037039685.1,1
Ceratobasidium,Basidiomycota,sp.,anastomosis.group.I;.DN8442,GCA_015039395.1,1
Ceratobasidium,Basidiomycota,sp.,414,GCA_019616945.1,1
Ceratobasidium,Basidiomycota,papillatum,CBS.570.83,GCA_037042815.1,1
Ceratobasidium,Basidiomycota,sp.,428,GCA_019623705.1,1
Ceratobasidium,Basidiomycota,sp.,395,GCA_019616345.1,1
Ceratobasidium,Basidiomycota,sp.,C01,GCA_025200755.1,1
Ceratobasidium,Basidiomycota,sp.,394,GCA_019616325.1,1
Ceratobasidium,Basidiomycota,sp.,UAMH.11750,GCA_019677335.1,1
Ceratobasidium,Basidiomycota,sp.,392,GCA_019677385.1,1
Ceratobasidium,Basidiomycota,sp.,370,GCA_019677355.1,1
Ceratobasidium,Basidiomycota,sp.,423,GCA_019616915.1,1
Ceratobasidium,Basidiomycota,sp.,AG-Ba,GCA_016906555.1,1
Ceratobasidium,Basidiomycota,theobromae,NA,GCA_012932095.1,1
Ceriporiopsis,Basidiomycota,andreanae,CBS.279.92,GCA_001969225.1,1
Clitocybe,Basidiomycota,nebularis,NA,GCA_900068955.1,1
Coniophora,Basidiomycota,puteana,RWD-64-598.SS2,GCA_000271625.1,1
Coniophora,Basidiomycota,puteana,RWD-64-598.SS2,GCF_000271625.1,1
Coprinellus,Basidiomycota,micaceus,NA,GCA_951394405.1,1
Coprinellus,Basidiomycota,aureogranulatus,MPG-14N,GCA_027627275.1,1
Coprinellus,Basidiomycota,micaceus,FP101781,GCA_004369175.1,1
Coprinellus,Basidiomycota,micaceus,NA,GCA_951394415.1,1
Coprinopsis,Basidiomycota,cinerea,okayama7,,NA
Coprinopsis,Basidiomycota,cinerea,okayama7,,NA
Coprinopsis,Basidiomycota,marcescibilis,CBS.121175,GCA_004369085.1,1
Coprinopsis,Basidiomycota,sp.,MPI-PUGE-AT-0042,GCA_020736565.1,1
Coprinopsis,Basidiomycota,strossmayeri,NA,GCA_900156845.1,1
Coprinopsis,Basidiomycota,cinerea,A43mut.B43mut.pab1-1.,,NA
Coprinus,Basidiomycota,comatus,Tebai39,GCA_034638255.1,1
Coprinus,Basidiomycota,comatus,MG80,GCA_003316025.1,1
Crassisporium,Basidiomycota,funariophilum,CBS.144457,GCA_014925845.1,1
Crepidotus,Basidiomycota,variabilis,CBS.506.95,GCA_015657495.1,1
Crepidotus,Basidiomycota,sp.,NA,GCA_001179765.1,1
Cristinia,Basidiomycota,sonorae,KKN.215,GCA_021029105.1,1
Cronartium,Basidiomycota,quercuum,G11,GCA_015951145.1,1
Cronartium,Basidiomycota,ribicola,2-Nov,GCA_000500245.1,1
Cronartium,Basidiomycota,comandrae,C4,GCA_000464975.1,1
Cronartium,Basidiomycota,quercuum,CqE3WM,GCA_000500775.1,1
Crucibulum,Basidiomycota,laeve,CBS.166.37,GCA_004379715.1,1
Crucibulum,Basidiomycota,parvulum,FLAS-F-66525,GCA_036937015.1,1
Crucibulum,Basidiomycota,cyathiforme,FLAS-F-66527,GCA_036936985.1,1
Cryptococcus,Basidiomycota,decagattii,7685027,GCA_036417295.1,1
Cryptococcus,Basidiomycota,sp.,DSM.104549,GCA_036427605.1,1
Cryptococcus,Basidiomycota,sp.,DSM.104548,GCA_036426225.1,1
Cryptococcus,Basidiomycota,deuterogattii,NA,GCA_002954075.1,1
Cryptococcus,Basidiomycota,deuterogattii,NA,GCF_002954075.1,1
Cryptococcus,Basidiomycota,neoformans,JEC21,GCA_000091045.1,1
Cryptococcus,Basidiomycota,neoformans,JEC21,GCF_000091045.1,1
Cryptococcus,Basidiomycota,gattii,WM276,GCA_000185945.1,1
Cryptococcus,Basidiomycota,gattii,WM276,GCF_000185945.1,1
Cryptococcus,Basidiomycota,floricola,DSM.27421,GCA_006352305.1,1
Cryptococcus,Basidiomycota,gattii,MF34,GCA_009650685.1,1
Cryptococcus,Basidiomycota,amylolentus,CBS.6039,GCA_001720205.1,1
Cryptococcus,Basidiomycota,amylolentus,CBS.6039,GCF_001720205.1,1
Cryptococcus,Basidiomycota,wingfieldii,CBS.7118,GCA_001720155.1,1
Cryptococcus,Basidiomycota,wingfieldii,CBS.7118,GCF_001720155.1,1
Cryptococcus,Basidiomycota,bacillisporus,CA1873,GCA_000855695.1,1
Cryptococcus,Basidiomycota,tetragattii,IND107,GCA_000835755.1,1
Cryptococcus,Basidiomycota,sp.,NA,GCA_017654825.1,1
Cryptococcus,Basidiomycota,sp.,GC_Crypt_8,GCA_026538325.1,1
Cryptococcus,Basidiomycota,sp.,GC_Crypt_2,GCA_026538405.1,1
Cryptococcus,Basidiomycota,sp.,GC_Crypt_7,GCA_026538335.1,1
Cryptococcus,Basidiomycota,sp.,GC_Crypt_6,GCA_026538315.1,1
Cryptococcus,Basidiomycota,sp.,VH57_BW,GCA_024271845.1,1
Cryptococcus,Basidiomycota,neoformans,CBS.132,GCA_006992865.1,1
Cryptococcus,Basidiomycota,sp.,GC_Crypt_5,GCA_026538355.1,1
Cryptococcus,Basidiomycota,sp.,GC_Crypt_3,GCA_026538395.1,1
Cryptococcus,Basidiomycota,sp.,GC_Crypt_1,GCA_026538415.1,1
Cryptococcus,Basidiomycota,sp.,GC_Crypt_4,GCA_026538345.1,1
Cryptococcus,Basidiomycota,neoformans,H99,GCA_011801205.1,1
Cryptococcus,Basidiomycota,wingfieldii,CBS7118,GCA_006149155.1,1
Cryptococcus,Basidiomycota,depauperatus,NA,GCA_001720195.2,1
Cryptococcus,Basidiomycota,neoformans,Bt81,GCA_023650555.1,1
Cryptococcus,Basidiomycota,neoformans,Bt65,GCA_023650535.1,1
Cryptococcus,Basidiomycota,neoformans,VNII,GCA_022832995.1,1
Cryptococcus,Basidiomycota,neoformans,KBCN0140,GCA_020975605.1,1
Cryptococcus,Basidiomycota,neoformans,KBCN0142,GCA_020975615.1,1
Cryptococcus,Basidiomycota,neoformans,SACN00B1,GCA_020975675.1,1
Cryptococcus,Basidiomycota,neoformans,C23,GCA_020975565.1,1
Cryptococcus,Basidiomycota,neoformans,SACN00B2,GCA_020975645.1,1
Cryptococcus,Basidiomycota,neoformans,KBCN0138,GCA_020975665.1,1
Cryptococcus,Basidiomycota,neoformans,C36,GCA_020975435.1,1
Cryptococcus,Basidiomycota,neoformans,A5-35-17,GCA_020975495.1,1
Cryptococcus,Basidiomycota,neoformans,Bt89,GCA_023650575.1,1
Cryptococcus,Basidiomycota,neoformans,KBCN0135,GCA_020975545.1,1
Cryptococcus,Basidiomycota,neoformans,KBCN0137,GCA_020975705.1,1
Cryptococcus,Basidiomycota,neoformans,KBCN0134,GCA_020975585.1,1
Cryptococcus,Basidiomycota,neoformans,C8,GCA_020975525.1,1
Cryptococcus,Basidiomycota,neoformans,Bt133,GCA_023650595.1,1
Cryptococcus,Basidiomycota,neoformans,C27,GCA_020975485.1,1
Cryptococcus,Basidiomycota,neoformans,A1_35_8,GCA_010233735.1,1
Cryptococcus,Basidiomycota,neoformans,Ze90-1,GCA_010233705.1,1
Cryptococcus,Basidiomycota,neoformans,JEC21,GCA_035658335.1,1
Cryptococcus,Basidiomycota,gattii,WM276,GCA_036428525.1,1
Cryptococcus,Basidiomycota,depauperatus,NA,GCA_001720245.2,1
Cryptococcus,Basidiomycota,neoformans,H99,GCA_000149245.3,1
Cryptococcus,Basidiomycota,neoformans,H99,GCF_000149245.1,1
Cryptococcus,Basidiomycota,neoformans,KN99,GCA_002216725.1,1
Cryptococcus,Basidiomycota,neoformans,Bt88,GCA_010065315.1,1
Cryptococcus,Basidiomycota,neoformans,Ftc146-1,GCA_010065285.1,1
Cryptococcus,Basidiomycota,neoformans,PMHc1023.ENR,GCA_010065295.1,1
Cryptococcus,Basidiomycota,neoformans,C45,GCA_010065305.1,1
Cryptococcus,Basidiomycota,neoformans,Bt106,GCA_010065385.1,1
Cryptococcus,Basidiomycota,neoformans,TW1,GCA_028982725.1,1
Cryptococcus,Basidiomycota,neoformans,A5-35-17,GCA_010065405.1,1
Cryptococcus,Basidiomycota,neoformans,XL280,GCA_002216205.1,1
Cryptococcus,Basidiomycota,neoformans,B-3501A,GCA_000149385.1,1
Cryptococcus,Basidiomycota,neoformans,B-3501A,GCF_000149385.1,1
Cryptococcus,Basidiomycota,neoformans,H99,GCA_003011985.1,1
Cryptococcus,Basidiomycota,deuterogattii,R265,GCA_003011995.1,1
Cryptococcus,Basidiomycota,deuterogattii,R265,GCA_000786445.1,1
Cryptococcus,Basidiomycota,floricola,DSM.27421,GCA_008355005.1,1
Cryptococcus,Basidiomycota,neoformans,VYD135,GCA_011057565.1,1
Cryptococcus,Basidiomycota,neoformans,VYD136,GCA_011057545.1,1
Cryptococcus,Basidiomycota,neoformans,VYD147,GCA_011057515.1,1
Cryptococcus,Basidiomycota,neoformans,VYD148,GCA_011057475.1,1
Cryptococcus,Basidiomycota,neoformans,VYD146,GCA_011057555.1,1
Cryptococcus,Basidiomycota,neoformans,SR014,GCA_031840995.1,1
Cryptococcus,Basidiomycota,neoformans,SR013,GCA_031841035.1,1
Cryptococcus,Basidiomycota,neoformans,SR057,GCA_031842005.1,1
Cryptococcus,Basidiomycota,neoformans,ZY084,GCA_031841275.1,1
Cryptococcus,Basidiomycota,neoformans,SR020,GCA_031840985.1,1
Cryptococcus,Basidiomycota,neoformans,ZY026,GCA_031841665.1,1
Cryptococcus,Basidiomycota,neoformans,SR007,GCA_031841085.1,1
Cryptococcus,Basidiomycota,neoformans,SR031,GCA_031840965.1,1
Cryptococcus,Basidiomycota,neoformans,ZY041,GCA_031841605.1,1
Cryptococcus,Basidiomycota,neoformans,ZY065,GCA_031841405.1,1
Cryptococcus,Basidiomycota,neoformans,ZY019,GCA_031841745.1,1
Cryptococcus,Basidiomycota,neoformans,ZY017,GCA_031841795.1,1
Cryptococcus,Basidiomycota,neoformans,ZY085,GCA_031841255.1,1
Cryptococcus,Basidiomycota,neoformans,SR036,GCA_031840895.1,1
Cryptococcus,Basidiomycota,neoformans,RM004,GCA_031841915.1,1
Cryptococcus,Basidiomycota,neoformans,ZY053,GCA_031841575.1,1
Cryptococcus,Basidiomycota,neoformans,SR040,GCA_031840865.1,1
Cryptococcus,Basidiomycota,neoformans,ZY054,GCA_031841545.1,1
Cryptococcus,Basidiomycota,neoformans,SR058,GCA_031841985.1,1
Cryptococcus,Basidiomycota,neoformans,SR042,GCA_031840795.1,1
Cryptococcus,Basidiomycota,neoformans,ZY092,GCA_031841195.1,1
Cryptococcus,Basidiomycota,neoformans,ZY064,GCA_031841465.1,1
Cryptococcus,Basidiomycota,neoformans,ZY022,GCA_031841695.1,1
Cryptococcus,Basidiomycota,neoformans,SR053,GCA_031840755.1,1
Cryptococcus,Basidiomycota,neoformans,ZY057,GCA_031841525.1,1
Cryptococcus,Basidiomycota,neoformans,SR044,GCA_031840775.1,1
Cryptococcus,Basidiomycota,neoformans,ZY018,GCA_031841765.1,1
Cryptococcus,Basidiomycota,neoformans,ZY059,GCA_031841475.1,1
Cryptococcus,Basidiomycota,neoformans,ZY012,GCA_031841825.1,1
Cryptococcus,Basidiomycota,neoformans,ZY081,GCA_031841325.1,1
Cryptococcus,Basidiomycota,neoformans,ZY088,GCA_031841215.1,1
Cryptococcus,Basidiomycota,neoformans,SR065,GCA_031841945.1,1
Cryptococcus,Basidiomycota,neoformans,ZY080,GCA_031841315.1,1
Cryptococcus,Basidiomycota,neoformans,ZY003,GCA_031841865.1,1
Cryptococcus,Basidiomycota,neoformans,SR001,GCA_031841055.1,1
Cryptococcus,Basidiomycota,neoformans,ZY069,GCA_031841365.1,1
Cryptococcus,Basidiomycota,neoformans,SR043,GCA_031840785.1,1
Cryptococcus,Basidiomycota,neoformans,ZY086,GCA_031841235.1,1
Cryptococcus,Basidiomycota,neoformans,ZY078,GCA_031841345.1,1
Cryptococcus,Basidiomycota,neoformans,SR034,GCA_031840955.1,1
Cryptococcus,Basidiomycota,neoformans,ZY021,GCA_031841715.1,1
Cryptococcus,Basidiomycota,neoformans,ZY098,GCA_031841185.1,1
Cryptococcus,Basidiomycota,neoformans,ZY058,GCA_031841495.1,1
Cryptococcus,Basidiomycota,neoformans,ZY016,GCA_031841805.1,1
Cryptococcus,Basidiomycota,neoformans,ZY042,GCA_031841585.1,1
Cryptococcus,Basidiomycota,neoformans,SY001,GCA_031841105.1,1
Cryptococcus,Basidiomycota,neoformans,ZY029,GCA_031841685.1,1
Cryptococcus,Basidiomycota,neoformans,ZY076,GCA_031841435.1,1
Cryptococcus,Basidiomycota,neoformans,SR062,GCA_031841935.1,1
Cryptococcus,Basidiomycota,neoformans,ZY006,GCA_031841845.1,1
Cryptococcus,Basidiomycota,neoformans,ZY077,GCA_031841415.1,1
Cryptococcus,Basidiomycota,neoformans,ZY031,GCA_031841655.1,1
Cryptococcus,Basidiomycota,neoformans,SR051,GCA_031840765.1,1
Cryptococcus,Basidiomycota,neoformans,ZY083,GCA_031841295.1,1
Cryptococcus,Basidiomycota,neoformans,ZY036,GCA_031841635.1,1
Cryptococcus,Basidiomycota,neoformans,ZY004,GCA_031841885.1,1
Cryptococcus,Basidiomycota,neoformans,SR038,GCA_031840885.1,1
Cryptococcus,Basidiomycota,neoformans,SR041,GCA_031840855.1,1
Cryptococcus,Basidiomycota,neoformans,SR027,GCA_031840975.1,1
Cryptococcus,Basidiomycota,neoformans,SR039,GCA_031840875.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-2641,GCA_019970625.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-2672,GCA_019970615.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-3746,GCA_019969275.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-2807,GCA_019970275.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-2720,GCA_019970475.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-2583,GCA_019970785.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-2503,GCA_019970725.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-2779,GCA_019970415.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-2527,GCA_019970755.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-3097,GCA_019970185.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-2881,GCA_019970295.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-3279,GCA_019970155.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-2619,GCA_019970715.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-2642,GCA_019970585.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-3102,GCA_019970135.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-2806,GCA_019970345.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-1959,GCA_019970885.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-2643,GCA_019970605.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-2808,GCA_019970315.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-2725,GCA_019970455.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-2950,GCA_019970125.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-2926,GCA_019970285.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-2713,GCA_019970465.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-2677,GCA_019970565.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-3104,GCA_019970145.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-2257,GCA_019970795.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-3463,GCA_019969285.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-2746,GCA_019970445.1,1
Cryptococcus,Basidiomycota,neoformans,WM-1408,GCA_002220045.1,1
Cryptococcus,Basidiomycota,neoformans,H0058-I-3589,GCA_019969295.1,1
Cryptococcus,Basidiomycota,neoformans,CM36,GCA_002222245.1,1
Cryptococcus,Basidiomycota,neoformans,RCT54,GCA_002222015.1,1
Cryptococcus,Basidiomycota,neoformans,CM50,GCA_002222135.1,1
Cryptococcus,Basidiomycota,neoformans,CM64,GCA_002222025.1,1
Cryptococcus,Basidiomycota,neoformans,CM24,GCA_002222145.1,1
Cryptococcus,Basidiomycota,neoformans,NA,GCA_900177225.1,1
Cryptococcus,Basidiomycota,neoformans,NA,GCA_900177205.1,1
Cryptococcus,Basidiomycota,neoformans,CM52,GCA_002222165.1,1
Cryptococcus,Basidiomycota,neoformans,NA,GCA_900177185.1,1
Cryptococcus,Basidiomycota,neoformans,V2,GCA_002215755.1,1
Cryptococcus,Basidiomycota,neoformans,NA,GCA_900177165.1,1
Cryptococcus,Basidiomycota,neoformans,BK147,GCA_900177175.1,1
Cryptococcus,Basidiomycota,neoformans,RCT21,GCA_002222155.1,1
Cryptococcus,Basidiomycota,neoformans,NA,GCA_900177195.1,1
Cryptococcus,Basidiomycota,neoformans,NA,GCA_900177215.1,1
Cryptococcus,Basidiomycota,neoformans,V31,GCA_002215745.1,1
Cryptococcus,Basidiomycota,neoformans,RCT6,GCA_002222095.1,1
Cryptococcus,Basidiomycota,neoformans,CM20,GCA_002222115.1,1
Cryptococcus,Basidiomycota,neoformans,NA,GCA_900177155.1,1
Cryptococcus,Basidiomycota,neoformans,CCTP51,GCA_002217545.1,1
Cryptococcus,Basidiomycota,neoformans,C23,GCA_002215825.1,1
Cryptococcus,Basidiomycota,neoformans,AD2-60a,GCA_002215775.1,1
Cryptococcus,Basidiomycota,neoformans,Bt15,GCA_002222335.1,1
Cryptococcus,Basidiomycota,neoformans,Bt1,GCA_002215705.1,1
Cryptococcus,Basidiomycota,neoformans,125.91,GCA_002215885.1,1
Cryptococcus,Basidiomycota,neoformans,A2-102-5,GCA_002222375.1,1
Cryptococcus,Basidiomycota,neoformans,Gb118,GCA_002224005.1,1
Cryptococcus,Basidiomycota,neoformans,Bt85,GCA_002215835.1,1
Cryptococcus,Basidiomycota,neoformans,Bt120,GCA_002222465.1,1
Cryptococcus,Basidiomycota,neoformans,Tu259-1,GCA_002222325.1,1
Cryptococcus,Basidiomycota,neoformans,Tu401-1,GCA_002222475.1,1
Cryptococcus,Basidiomycota,neoformans,Bt63,GCA_002234625.1,1
Cryptococcus,Basidiomycota,neoformans,Th84,GCA_002222315.1,1
Cryptococcus,Basidiomycota,neoformans,c8,GCA_002222405.1,1
Cryptococcus,Basidiomycota,neoformans,AD1-7a,GCA_002220445.1,1
Cryptococcus,Basidiomycota,neoformans,MW-RSA36,GCA_002222395.1,1
Cryptococcus,Basidiomycota,neoformans,Ze90-1,GCA_002222385.1,1
Cryptococcus,Basidiomycota,neoformans,D17-1,GCA_002222255.1,1
Cryptococcus,Basidiomycota,neoformans,Br795,GCA_002222225.1,1
Cryptococcus,Basidiomycota,neoformans,MW-RSA1955,GCA_002222455.1,1
Cryptococcus,Basidiomycota,neoformans,A5-35-17,GCA_002222215.1,1
Cryptococcus,Basidiomycota,neoformans,CHC193,GCA_002222295.1,1
Cryptococcus,Basidiomycota,neoformans,AD1-83a,GCA_002215765.1,1
Cryptococcus,Basidiomycota,neoformans,A1-35-8,GCA_002221985.1,1
Cryptococcus,Basidiomycota,neoformans,c45,GCA_002215855.1,1
