Phylum,ACC,Mbp,EVE_Status
Ascomycota,GCA_020503065.1,29.644453,Positive
Ascomycota,GCA_020726465.1,34.581066,Positive
Ascomycota,GCA_020726525.1,47.691432,Positive
Ascomycota,GCA_020744115.1,42.760115,Positive
Ascomycota,GCA_020744255.1,49.898762,Positive
Ascomycota,GCA_020744425.1,78.295265,Positive
Ascomycota,GCA_020744455.1,52.895438,Positive
Ascomycota,GCA_020744515.1,44.239264,Positive
Ascomycota,GCA_020746995.1,36.977232,Positive
Ascomycota,GCA_021193595.1,45.500877,Positive
Ascomycota,GCA_021365285.1,38.081648,Positive
Ascomycota,GCA_021432625.1,74.703444,Positive
Ascomycota,GCA_021432635.1,73.769161,Positive
Ascomycota,GCA_022179045.1,53.634345,Positive
Ascomycota,GCA_022180325.1,38.902402,Positive
Ascomycota,GCA_022180345.1,38.733698,Positive
Ascomycota,GCA_022578605.1,45.569357,Positive
Ascomycota,GCA_022578905.1,52.77141,Positive
Ascomycota,GCA_022695795.1,46.16249,Positive
Ascomycota,GCA_022788425.1,35.600413,Positive
Ascomycota,GCA_023085745.1,56.742365,Positive
Ascomycota,GCA_023086925.1,44.799998,Positive
Ascomycota,GCA_023088165.1,46.876333,Positive
Ascomycota,GCA_023088355.1,47.397329,Positive
Ascomycota,GCA_023088785.1,51.973759,Positive
Ascomycota,GCA_023089405.1,43.247619,Positive
Ascomycota,GCA_023168115.2,38.43201,Positive
Ascomycota,GCA_023509805.1,66.378669,Positive
Ascomycota,GCA_023628515.1,33.136343,Positive
Ascomycota,GCA_023628595.1,33.140943,Positive
Ascomycota,GCA_023653635.1,40.502615,Positive
Ascomycota,GCA_024115165.1,35.100845,Positive
Ascomycota,GCA_024516245.1,64.566047,Positive
Ascomycota,GCA_024521645.1,55.456575,Positive
Ascomycota,GCA_024676795.1,38.418727,Positive
Ascomycota,GCA_025433615.1,57.022923,Positive
Ascomycota,GCA_025503015.1,33.425836,Positive
Ascomycota,GCA_026229875.1,58.963598,Positive
Ascomycota,GCA_028566675.1,39.561165,Positive
Ascomycota,GCA_028827245.1,38.283277,Positive
Ascomycota,GCA_029298715.1,32.300879,Positive
Ascomycota,GCA_029531795.1,50.998698,Positive
Ascomycota,GCA_030370815.1,65.433403,Positive
Ascomycota,GCA_030370825.1,63.739157,Positive
Ascomycota,GCA_030370845.1,56.610703,Positive
Ascomycota,GCA_030370895.1,65.085306,Positive
Ascomycota,GCA_030370915.1,65.722999,Positive
Ascomycota,GCA_030370945.1,65.539596,Positive
Ascomycota,GCA_030370985.1,65.617201,Positive
Ascomycota,GCA_030371025.1,65.404607,Positive
Ascomycota,GCA_030371055.1,65.401696,Positive
Ascomycota,GCA_030371075.1,65.07283,Positive
Ascomycota,GCA_030371095.1,65.101751,Positive
Ascomycota,GCA_030371145.1,65.595347,Positive
Ascomycota,GCA_030371195.1,65.095653,Positive
Ascomycota,GCA_030371205.1,64.935509,Positive
Ascomycota,GCA_030771935.1,33.068492,Positive
Ascomycota,GCA_030772035.1,32.637308,Positive
Ascomycota,GCA_030772855.1,32.195186,Positive
Ascomycota,GCA_030777585.1,34.874047,Positive
Ascomycota,GCA_030777605.1,32.418113,Positive
Ascomycota,GCA_030777725.1,39.06393,Positive
Ascomycota,GCA_030777905.1,33.834952,Positive
Ascomycota,GCA_030778565.1,33.532212,Positive
Ascomycota,GCA_030786985.1,31.966287,Positive
Ascomycota,GCA_030787925.1,33.297451,Positive
Ascomycota,GCA_032354195.1,33.537015,Positive
Ascomycota,GCA_033030565.1,51.463765,Positive
Ascomycota,GCA_033296975.1,42.45352,Positive
Ascomycota,GCA_034447905.1,52.432523,Positive
Ascomycota,GCA_037040925.1,27.146142,Positive
Ascomycota,GCA_037177735.1,43.702814,Positive
Ascomycota,GCA_037177765.1,45.572402,Positive
Ascomycota,GCA_900232065.1,11.178549,Positive
Ascomycota,GCA_937873235.1,27.09516,Positive
Ascomycota,GCA_954870535.1,42.584452,Positive
Ascomycota,GCA_963974035.1,34.624789,Positive
Ascomycota,GCF_000151355.1,51.927682,Positive
Ascomycota,GCF_000687475.1,37.622617,Positive
Ascomycota,GCF_000836115.1,33.323769,Positive
Ascomycota,GCF_001481775.2,38.382194,Positive
Ascomycota,GCF_001672515.1,51.350067,Positive
Ascomycota,GCF_020726525.1,47.691432,Positive
Ascomycota,GCF_020744255.1,49.898762,Positive
Ascomycota,GCF_021365285.1,38.081648,Positive
Ascomycota,GCF_028827245.1,38.283277,Positive
Ascomycota,GCF_034447905.1,52.432523,Positive
Basidiomycota,GCA_000143565.1,65.688736,Positive
Basidiomycota,GCA_000218685.1,43.332223,Positive
Basidiomycota,GCA_000218725.1,47.582256,Positive
Basidiomycota,GCA_000350255.1,49.293633,Positive
Basidiomycota,GCA_000695385.1,40.321088,Positive
Basidiomycota,GCA_000827195.1,52.850537,Positive
Basidiomycota,GCA_000827335.1,71.895441,Positive
Basidiomycota,GCA_001013415.1,88.776667,Positive
Basidiomycota,GCA_001286725.1,56.729841,Positive
Basidiomycota,GCA_001563735.1,120.525932,Positive
Basidiomycota,GCA_001658105.1,36.554734,Positive
Basidiomycota,GCA_001691775.3,20.334149,Positive
Basidiomycota,GCA_001691785.3,36.469324,Positive
Basidiomycota,GCA_001882365.1,44.331403,Positive
Basidiomycota,GCA_001950495.1,43.573551,Positive
Basidiomycota,GCA_002607745.1,48.735374,Positive
Basidiomycota,GCA_002891375.1,37.861183,Positive
Basidiomycota,GCA_002994825.1,35.897592,Positive
Basidiomycota,GCA_002995015.1,40.64326,Positive
Basidiomycota,GCA_002995055.1,37.568777,Positive
Basidiomycota,GCA_002995065.1,35.460572,Positive
Basidiomycota,GCA_002995115.1,40.131882,Positive
Basidiomycota,GCA_002995175.1,33.618931,Positive
Basidiomycota,GCA_002995195.1,35.935771,Positive
Basidiomycota,GCA_002995215.1,35.342134,Positive
Basidiomycota,GCA_002995235.1,34.934356,Positive
Basidiomycota,GCA_002995245.1,39.045469,Positive
Basidiomycota,GCA_002995275.1,35.238505,Positive
Basidiomycota,GCA_002995395.1,35.648363,Positive
Basidiomycota,GCA_002995415.1,36.588906,Positive
Basidiomycota,GCA_002995455.1,38.154055,Positive
Basidiomycota,GCA_003268435.1,54.224575,Positive
Basidiomycota,GCA_003313085.1,89.479196,Positive
Basidiomycota,GCA_003313625.1,56.412232,Positive
Basidiomycota,GCA_003313715.1,54.276271,Positive
Basidiomycota,GCA_003313725.1,65.614277,Positive
Basidiomycota,GCA_003314665.1,119.839082,Positive
Basidiomycota,GCA_003315975.1,48.685183,Positive
Basidiomycota,GCA_003316035.1,52.366827,Positive
Basidiomycota,GCA_003316165.1,53.240858,Positive
Basidiomycota,GCA_003316205.1,48.482316,Positive
Basidiomycota,GCA_003316345.1,85.505554,Positive
Basidiomycota,GCA_003316565.1,50.511759,Positive
Basidiomycota,GCA_003851025.1,39.508121,Positive
Basidiomycota,GCA_009812315.1,39.80998,Positive
Basidiomycota,GCA_014904895.1,177.956653,Positive
Basidiomycota,GCA_015025155.1,117.352176,Positive
Basidiomycota,GCA_015178965.1,45.29786,Positive
Basidiomycota,GCA_015342405.1,45.572174,Positive
Basidiomycota,GCA_015342435.1,40.475793,Positive
Basidiomycota,GCA_015501075.1,60.205014,Positive
Basidiomycota,GCA_015501605.1,51.525891,Positive
Basidiomycota,GCA_015708795.1,39.931465,Positive
Basidiomycota,GCA_016628565.1,56.015456,Positive
Basidiomycota,GCA_016647625.1,65.784213,Positive
Basidiomycota,GCA_016647755.1,115.635267,Positive
Basidiomycota,GCA_016906535.1,41.212577,Positive
Basidiomycota,GCA_016906555.1,49.00703,Positive
Basidiomycota,GCA_016906575.1,97.494167,Positive
Basidiomycota,GCA_017311305.1,56.536303,Positive
Basidiomycota,GCA_018397855.1,56.531085,Positive
Basidiomycota,GCA_018417955.1,59.801233,Positive
Basidiomycota,GCA_018417965.1,113.301079,Positive
Basidiomycota,GCA_018423875.1,95.030507,Positive
Basidiomycota,GCA_018423945.1,93.981628,Positive
Basidiomycota,GCA_018466975.1,41.930194,Positive
Basidiomycota,GCA_018851285.1,58.050883,Positive
Basidiomycota,GCA_019096195.1,33.920484,Positive
Basidiomycota,GCA_019297585.1,42.093744,Positive
Basidiomycota,GCA_019616325.1,54.126935,Positive
Basidiomycota,GCA_019616345.1,67.852271,Positive
Basidiomycota,GCA_019616945.1,51.057769,Positive
Basidiomycota,GCA_019623705.1,69.966166,Positive
Basidiomycota,GCA_019677335.1,48.367445,Positive
Basidiomycota,GCA_019677355.1,47.879663,Positive
Basidiomycota,GCA_019677385.1,53.126071,Positive
Basidiomycota,GCA_020011035.1,53.869605,Positive
Basidiomycota,GCA_020746845.1,46.367714,Positive
Basidiomycota,GCA_021018865.1,40.817362,Positive
Basidiomycota,GCA_022376515.1,63.763388,Positive
Basidiomycota,GCA_022496215.1,49.136405,Positive
Basidiomycota,GCA_022606075.1,43.399756,Positive
Basidiomycota,GCA_022837065.1,48.083083,Positive
Basidiomycota,GCA_023014405.1,72.064807,Positive
Basidiomycota,GCA_024613125.1,58.722455,Positive
Basidiomycota,GCA_024663395.1,93.684939,Positive
Basidiomycota,GCA_024722335.1,41.924993,Positive
Basidiomycota,GCA_025504695.1,43.97259,Positive
Basidiomycota,GCA_025766275.1,91.445164,Positive
Basidiomycota,GCA_025769875.1,70.889121,Positive
Basidiomycota,GCA_026075535.2,163.053737,Positive
Basidiomycota,GCA_026213095.1,164.665554,Positive
Basidiomycota,GCA_026686785.1,38.129268,Positive
Basidiomycota,GCA_026766895.1,48.733878,Positive
Basidiomycota,GCA_027596045.1,35.665978,Positive
Basidiomycota,GCA_028551635.1,45.083625,Positive
Basidiomycota,GCA_029719445.1,39.169725,Positive
Basidiomycota,GCA_030142035.1,66.173518,Positive
Basidiomycota,GCA_030246685.1,32.74952,Positive
Basidiomycota,GCA_032173475.1,35.959067,Positive
Basidiomycota,GCA_034770285.1,41.296805,Positive
Basidiomycota,GCA_037178675.1,52.525974,Positive
Basidiomycota,GCA_900068935.1,76.30354,Positive
Basidiomycota,GCA_900068955.1,60.255251,Positive
Basidiomycota,GCA_900068985.1,52.659113,Positive
Basidiomycota,GCA_905219545.1,34.744447,Positive
Basidiomycota,GCA_905219565.1,38.575251,Positive
Basidiomycota,GCA_905219575.1,58.544489,Positive
Basidiomycota,GCA_905219585.1,34.058007,Positive
Basidiomycota,GCA_905219605.1,47.030885,Positive
Basidiomycota,GCA_905219615.1,35.639721,Positive
Basidiomycota,GCA_905219635.1,43.270111,Positive
Basidiomycota,GCA_905219645.1,53.530394,Positive
Basidiomycota,GCA_905232135.1,48.361734,Positive
Basidiomycota,GCA_914271495.1,38.879975,Positive
Basidiomycota,GCF_000143565.1,65.688736,Positive
Basidiomycota,GCF_000218685.1,43.332223,Positive
Basidiomycota,GCF_003851025.1,39.508121,Positive
Basidiomycota,GCF_016647625.1,65.784213,Positive
Basidiomycota,GCF_016906535.1,41.212577,Positive
Basidiomycota,GCF_024613125.1,58.722455,Positive
Glomeromycota,GCA_910591835.1,218.774,Positive
Glomeromycota,GCA_910591765.1,197.202,Positive
Glomeromycota,GCA_910591945.1,87.9659,Positive
Neocallimastigomycota,GCA_002104895.1,71.685,Positive
Mucoromycota,GCA_000696975.1,35.8408,Positive
Mucoromycota,GCA_000696995.1,38.4676,Positive
Mucoromycota,GCA_016097735.1,35.1396,Positive
Mucoromycota,GCA_016097715.1,37.6254,Positive
Mucoromycota,GCA_016097755.1,37.7671,Positive
Chytridiomycota,GCA_027604185.1,15.7005,Positive
Neocallimastigomycota,GCA_027248405.1,57.8365,Positive
Glomeromycota,GCA_910591915.1,435.083,Positive
Glomeromycota,GCA_910591775.1,181.574,Positive
Glomeromycota,GCA_910591965.1,293.539,Positive
Glomeromycota,GCA_003547095.1,156.577,Positive
Glomeromycota,GCA_910592215.1,69.8983,Positive
Glomeromycota,GCA_910591825.1,146.163,Positive
Glomeromycota,GCA_009809945.1,773.099,Positive
Glomeromycota,GCA_003550325.1,567.861,Positive
Chytridiomycota,GCA_025399215.1,21.6466,Positive
Glomeromycota,GCA_003550305.1,136.821,Positive
Microsporidiomycota,GCA_003600395.1,5.83509,Positive
Microsporidiomycota,GCA_000760515.2,5.63507,Positive
Neocallimastigomycota,GCA_002104975.1,193.032,Positive
Neocallimastigomycota,GCA_016946835.1,200.97,Positive
Microsporidiomycota,GCA_015832245.1,8.8597,Positive
Microsporidiomycota,GCA_024243955.1,4.5949,Positive
Glomeromycota,GCA_910592205.1,50.0602,Positive
Glomeromycota,GCA_910592345.1,58.4731,Positive
Neocallimastigomycota,GCA_000412615.1,100.954,Positive
Chytridiomycota,GCA_025602905.1,31.5482,Positive
Neocallimastigomycota,GCA_027248865.1,65.2894,Positive
Neocallimastigomycota,GCA_002104945.1,56.4558,Positive
Neocallimastigomycota,GCA_002157105.1,71.0191,Positive
Glomeromycota,GCA_910592135.1,295.994,Positive
Glomeromycota,GCA_910592285.1,353.07,Positive
Glomeromycota,GCA_000439145.3,136.726,Positive
Glomeromycota,GCA_015698045.1,146.836,Positive
Glomeromycota,GCA_910592325.1,147.042,Positive
Zoopagomycota,GCA_001953115.1,102.351,Positive
Zoopagomycota,GCA_001970855.1,77.1248,Positive
Zoopagomycota,GCA_003086715.1,43.532,Positive
Zoopagomycota,GCA_003097675.1,28.0454,Positive
Chytridiomycota,GCA_006535955.1,21.4831,Positive
Chytridiomycota,GCA_027603945.1,15.5855,Positive
Zoopagomycota,GCA_003614735.1,18.2038,Positive
Zoopagomycota,GCA_004114325.1,21.009,Positive
Mucoromycota,GCA_900079185.1,48.7464,Negative
Mucoromycota,GCA_002105175.1,47.4229,Negative
Mucoromycota,GCA_019677255.1,49.4179,Negative
Mucoromycota,GCA_019677225.1,43.5089,Negative
Mucoromycota,GCA_004114255.1,11.1768,Negative
Glomeromycota,GCA_910592055.1,299.808,Negative
Mucoromycota,GCA_016098155.1,37.9231,Negative
Mucoromycota,GCA_016098105.1,34.2329,Negative
Mucoromycota,GCA_026027325.1,36.5337,Negative
Blastocladiomycota,GCA_027604645.1,29.9273,Negative
Blastocladiomycota,GCA_027604705.1,26.4828,Negative
Blastocladiomycota,GCA_000151295.1,57.0606,Negative
Microsporidiomycota,GCA_030386735.1,1.51748,Negative
Chytridiomycota,GCA_018985225.1,10.5497,Negative
Microsporidiomycota,GCA_001875675.1,5.62015,Negative
Microsporidiomycota,GCA_000385875.2,12.1634,Negative
Microsporidiomycota,GCA_007674295.1,3.17138,Negative
Mucoromycota,GCA_014839865.1,34.0798,Negative
Mucoromycota,GCA_002749535.1,39.3223,Negative
Mucoromycota,GCA_025399235.1,48.6483,Negative
Mucoromycota,GCA_024139495.1,46.1128,Negative
Mucoromycota,GCA_024139485.1,45.156,Negative
Mucoromycota,GCA_024139405.1,46.4081,Negative
Mucoromycota,GCA_024139415.1,47.3446,Negative
Mucoromycota,GCA_024139395.1,48.3847,Negative
Mucoromycota,GCA_024140265.1,44.962,Negative
Mucoromycota,GCA_024140195.1,47.9533,Negative
Mucoromycota,GCA_024140565.1,47.5946,Negative
Mucoromycota,GCA_024140155.1,47.8416,Negative
Mucoromycota,GCA_024140375.1,48.3484,Negative
Mucoromycota,GCA_024140245.1,57.6975,Negative
Mucoromycota,GCA_024139275.1,56.3327,Negative
Zoopagomycota,GCA_002104905.1,89.4891,Negative
Zoopagomycota,GCA_000697455.1,44.0538,Negative
Chytridiomycota,GCA_000203795.1,23.8109,Negative
Chytridiomycota,GCA_002006685.2,73.3467,Negative
Mucoromycota,GCA_025766325.1,32.5047,Negative
Mucoromycota,GCA_002261195.1,19.4789,Negative
Mucoromycota,GCA_025331445.1,37.5139,Negative
Blastocladiomycota,GCA_025594325.1,32.6542,Negative
Blastocladiomycota,GCA_025349905.2,19.0753,Negative
Chytridiomycota,GCA_027604625.1,46.4683,Negative
Chytridiomycota,GCA_003614705.1,46.4689,Negative
Chytridiomycota,GCA_027604245.1,12.8494,Negative
Chytridiomycota,GCA_027604345.1,14.2413,Negative
Chytridiomycota,GCA_027604605.1,38.3611,Negative
Zoopagomycota,GCA_016630905.1,29.8485,Negative
Zoopagomycota,GCA_001661515.1,24.8459,Negative
Blastocladiomycota,GCA_002102555.1,41.3375,Negative
Chytridiomycota,GCA_003615045.1,21.7969,Negative
Mucoromycota,GCA_025330725.1,34.3282,Negative
Mucoromycota,GCA_025331435.1,35.1087,Negative
Chytridiomycota,GCA_027604005.1,31.5105,Negative
Chytridiomycota,GCA_027604305.1,26.9485,Negative
Chytridiomycota,GCA_023347005.1,9.03726,Negative
Chytridiomycota,GCA_025449115.1,42.3809,Negative
Chytridiomycota,GCA_027604105.1,29.5159,Negative
Chytridiomycota,GCA_006535975.1,35.9734,Negative
Chytridiomycota,GCA_025201725.1,36.3838,Negative
Chytridiomycota,GCA_025435555.1,38.1034,Negative
Mucoromycota,GCA_016758965.1,54.1796,Negative
Mucoromycota,GCA_025093555.1,51.2701,Negative
Chytridiomycota,GCA_025526935.1,50.6659,Negative
Chytridiomycota,GCA_027604065.1,24.6502,Negative
Zoopagomycota,GCA_004114315.1,16.8412,Negative
Zoopagomycota,GCA_027478935.1,18.5172,Negative
Zoopagomycota,GCA_027478445.1,17.4694,Negative
Zoopagomycota,GCA_027478835.1,11.8015,Negative
Zoopagomycota,GCA_027595785.1,13.2778,Negative
Zoopagomycota,GCA_027595765.1,13.284,Negative
Zoopagomycota,GCA_027595805.1,18.1009,Negative
Zoopagomycota,GCA_027595825.1,18.3123,Negative
Zoopagomycota,GCA_002705745.1,21.8379,Negative
Zoopagomycota,GCA_025766245.1,14.2914,Negative
Zoopagomycota,GCA_025766305.1,18.932,Negative
Mucoromycota,GCA_025118155.1,28.1208,Negative
Zoopagomycota,GCA_001566745.1,39.9037,Negative
Zoopagomycota,GCA_000697335.1,93.8954,Negative
Microsporidiomycota,GCA_014805705.1,32.414,Negative
Mucoromycota,GCA_000697015.1,31.7435,Negative
Mucoromycota,GCA_000697215.1,31.1451,Negative
Mucoromycota,GCA_017871115.1,31.9446,Negative
Mucoromycota,GCA_025201675.1,29.0024,Negative
Mucoromycota,GCA_025716815.1,39.778,Negative
Microsporidiomycota,GCA_016255985.1,2.20598,Negative
Microsporidiomycota,GCA_016256075.1,41.9222,Negative
Zoopagomycota,GCA_027478255.1,39.3717,Negative
Mucoromycota,GCA_025201705.1,38.9426,Negative
Mucoromycota,GCA_016097935.1,39.1648,Negative
Glomeromycota,GCA_910592015.1,65.1115,Negative
Microsporidiomycota,GCA_000230595.3,51.348,Negative
Microsporidiomycota,GCA_000091225.2,2.49752,Negative
Microsporidiomycota,GCA_000146465.1,2.2169,Negative
Microsporidiomycota,GCA_000277815.3,2.25178,Negative
Microsporidiomycota,GCA_000280035.2,2.18759,Negative
Mucoromycota,GCA_003990785.1,95.5527,Negative
Microsporidiomycota,GCA_000209485.1,3.86074,Negative
Microsporidiomycota,GCA_026692725.1,3.11867,Negative
Microsporidiomycota,GCA_024243835.1,6.01612,Negative
Microsporidiomycota,GCA_002087915.1,3.09538,Negative
Zoopagomycota,GCA_014839935.2,1031.19,Negative
Mucoromycota,GCA_015500005.1,35.3041,Negative
Mucoromycota,GCA_015679585.1,37.8273,Negative
Mucoromycota,GCA_015849335.1,39.0483,Negative
Mucoromycota,GCA_020891255.1,38.8861,Negative
Chytridiomycota,GCA_027604725.1,27.6946,Negative
Chytridiomycota,GCA_027604545.1,26.9629,Negative
Chytridiomycota,GCA_025526915.1,30.9152,Negative
Mucoromycota,GCA_025266875.1,45.8973,Negative
Chytridiomycota,GCA_025526975.1,30.6192,Negative
Glomeromycota,GCA_910592005.1,145.72,Negative
Zoopagomycota,GCA_003086725.1,28.123,Negative
Chytridiomycota,GCA_027603645.1,20.5572,Negative
Chytridiomycota,GCA_025558075.1,20.9182,Negative
Mucoromycota,GCA_025024155.1,37.6653,Negative
Glomeromycota,GCA_016748015.1,128.32,Negative
Chytridiomycota,GCA_027602005.1,23.4659,Negative
Chytridiomycota,GCA_027603065.1,24.1367,Negative
Mucoromycota,GCA_025201335.1,25.7325,Negative
Chytridiomycota,GCA_027595885.1,16.1043,Negative
Glomeromycota,GCA_027604505.1,35.5952,Negative
Glomeromycota,GCA_001574975.1,48.7948,Negative
Mucoromycota,GCA_001650995.1,34.7235,Negative
Mucoromycota,GCA_025201375.1,33.0125,Negative
Chytridiomycota,GCA_025526955.1,13.9834,Negative
Mucoromycota,GCA_015852425.1,42.943,Negative
Mucoromycota,GCA_025201355.1,26.2156,Negative
Microsporidiomycota,GCA_022605425.1,21.6083,Negative
Microsporidiomycota,GCA_004325065.1,20.7341,Negative
Mucoromycota,GCA_015499985.1,44.9002,Negative
Mucoromycota,GCA_015500155.1,38.9887,Negative
Mucoromycota,GCA_015529515.1,33.5139,Negative
Mucoromycota,GCA_015529505.1,33.5151,Negative
Mucoromycota,GCA_015529795.1,36.1291,Negative
Mucoromycota,GCA_025677825.1,32.7273,Negative
Microsporidiomycota,GCA_002087885.1,4.57028,Negative
Mucoromycota,GCA_002104935.1,27.2162,Negative
Chytridiomycota,GCA_000235945.1,26.1117,Negative
Chytridiomycota,GCA_025558095.1,31.9266,Negative
Chytridiomycota,GCA_027600665.1,36.8397,Negative
Mucoromycota,GCA_003951145.1,179.668,Negative
Mucoromycota,GCA_003990745.1,239.575,Negative
Chytridiomycota,GCA_027604465.1,11.6957,Negative
Chytridiomycota,GCA_027604405.1,13.244,Negative
Zoopagomycota,GCA_025024165.1,22.263,Negative
Mucoromycota,GCA_029851405.1,37.5341,Negative
Mucoromycota,GCA_000697475.1,36.6208,Negative
Mucoromycota,GCA_025094155.1,33.2824,Negative
Mucoromycota,GCA_008728235.1,31.8854,Negative
Mucoromycota,GCA_023629895.1,34.9346,Negative
Zoopagomycota,GCA_002104995.1,26.2025,Negative
Mucoromycota,GCA_020744185.1,50.9104,Negative
Mucoromycota,GCA_029449235.1,49.238,Negative
Mucoromycota,GCA_015847235.1,45.7023,Negative
Mucoromycota,GCA_016097855.1,49.263,Negative
Mucoromycota,GCA_016097895.1,48.1153,Negative
Mucoromycota,GCA_019671135.1,51.5582,Negative
Mucoromycota,GCA_023091675.1,38.0842,Negative
Mucoromycota,GCA_002105155.1,42.7689,Negative
Chytridiomycota,GCA_027604685.1,24.9441,Negative
Mucoromycota,GCA_015680635.1,40.5356,Negative
Zoopagomycota,GCA_025201845.1,19.8158,Negative
Zoopagomycota,GCA_022478985.1,1488.88,Negative
Microsporidiomycota,GCA_021821965.1,2.20649,Negative
Mucoromycota,GCA_015849295.1,43.6016,Negative
Mucoromycota,GCA_029449245.1,40.2205,Negative
Mucoromycota,GCA_011634665.1,49.964,Negative
Mucoromycota,GCA_015849325.1,35.4555,Negative
Mucoromycota,GCA_015502445.1,44.8214,Negative
Mucoromycota,GCA_015502465.1,45.1628,Negative
Mucoromycota,GCA_015502475.1,44.8171,Negative
Mucoromycota,GCA_015502455.1,40.1518,Negative
Mucoromycota,GCA_015502485.1,50.8943,Negative
Mucoromycota,GCA_015502575.1,38.5656,Negative
Mucoromycota,GCA_015679695.1,38.5635,Negative
Mucoromycota,GCA_015679515.1,42.8173,Negative
Mucoromycota,GCA_015679545.1,43.8438,Negative
Mucoromycota,GCA_015680625.1,46.0541,Negative
Mucoromycota,GCA_016098085.1,45.064,Negative
Mucoromycota,GCA_016098025.1,49.3029,Negative
Mucoromycota,GCA_016098045.1,39.2482,Negative
Mucoromycota,GCA_016098165.1,32.6276,Negative
Mucoromycota,GCA_016098035.1,36.9781,Negative
Mucoromycota,GCA_022750515.1,37.4586,Negative
Mucoromycota,GCA_025330735.1,44.9718,Negative
Mucoromycota,GCA_001599575.1,36.6165,Negative
Mucoromycota,GCA_000696895.1,35.852,Negative
Mucoromycota,GCA_000587855.1,33.9666,Negative
Mucoromycota,GCA_027405735.1,53.2481,Negative
