Phylum,ACC,Mbp,bp,EVE_Status,EVE_Count
Ascomycota,GCA_020501835.1,30.38403,30384030,Positive,1
Ascomycota,GCA_020503065.1,29.644453,29644453,Positive,1
Ascomycota,GCA_020726465.1,34.581066,34581066,Positive,1
Ascomycota,GCA_020726525.1,47.691432,47691432,Positive,2
Ascomycota,GCA_020744115.1,42.760115,42760115,Positive,1
Ascomycota,GCA_020744255.1,49.898762,49898762,Positive,5
Ascomycota,GCA_020744425.1,78.295265,78295265,Positive,2
Ascomycota,GCA_020744455.1,52.895438,52895438,Positive,1
Ascomycota,GCA_020744515.1,44.239264,44239264,Positive,1
Ascomycota,GCA_020746995.1,36.977232,36977232,Positive,1
Ascomycota,GCA_021193595.1,45.500877,45500877,Positive,2
Ascomycota,GCA_021365285.1,38.081648,38081648,Positive,1
Ascomycota,GCA_021432625.1,74.703444,74703444,Positive,1
Ascomycota,GCA_021432635.1,73.769161,73769161,Positive,1
Ascomycota,GCA_022179045.1,53.634345,53634345,Positive,1
Ascomycota,GCA_022180325.1,38.902402,38902402,Positive,1
Ascomycota,GCA_022180345.1,38.733698,38733698,Positive,1
Ascomycota,GCA_022578605.1,45.569357,45569357,Positive,1
Ascomycota,GCA_022578905.1,52.77141,52771410,Positive,1
Ascomycota,GCA_022695795.1,46.16249,46162490,Positive,1
Ascomycota,GCA_022788425.1,35.600413,35600413,Positive,1
Ascomycota,GCA_023085745.1,56.742365,56742365,Positive,1
Ascomycota,GCA_023086925.1,44.799998,44799998,Positive,1
Ascomycota,GCA_023088165.1,46.876333,46876333,Positive,1
Ascomycota,GCA_023088355.1,47.397329,47397329,Positive,1
Ascomycota,GCA_023088785.1,51.973759,51973759,Positive,1
Ascomycota,GCA_023089405.1,43.247619,43247619,Positive,1
Ascomycota,GCA_023168115.2,38.43201,38432010,Positive,1
Ascomycota,GCA_023509805.1,66.378669,66378669,Positive,1
Ascomycota,GCA_023628515.1,33.136343,33136343,Positive,1
Ascomycota,GCA_023628595.1,33.140943,33140943,Positive,1
Ascomycota,GCA_023653635.1,40.502615,40502615,Positive,1
Ascomycota,GCA_024115165.1,35.100845,35100845,Positive,1
Ascomycota,GCA_024516245.1,64.566047,64566047,Positive,1
Ascomycota,GCA_024521645.1,55.456575,55456575,Positive,1
Ascomycota,GCA_024676795.1,38.418727,38418727,Positive,1
Ascomycota,GCA_025433615.1,57.022923,57022923,Positive,1
Ascomycota,GCA_025503015.1,33.425836,33425836,Positive,1
Ascomycota,GCA_026229875.1,58.963598,58963598,Positive,1
Ascomycota,GCA_028566675.1,39.561165,39561165,Positive,1
Ascomycota,GCA_028827245.1,38.283277,38283277,Positive,1
Ascomycota,GCA_029298715.1,32.300879,32300879,Positive,1
Ascomycota,GCA_029531795.1,50.998698,50998698,Positive,1
Ascomycota,GCA_030370815.1,65.433403,65433403,Positive,1
Ascomycota,GCA_030370825.1,63.739157,63739157,Positive,1
Ascomycota,GCA_030370845.1,56.610703,56610703,Positive,1
Ascomycota,GCA_030370895.1,65.085306,65085306,Positive,1
Ascomycota,GCA_030370915.1,65.722999,65722999,Positive,1
Ascomycota,GCA_030370945.1,65.539596,65539596,Positive,1
Ascomycota,GCA_030370985.1,65.617201,65617201,Positive,1
Ascomycota,GCA_030371025.1,65.404607,65404607,Positive,1
Ascomycota,GCA_030371055.1,65.401696,65401696,Positive,1
Ascomycota,GCA_030371075.1,65.07283,65072830,Positive,1
Ascomycota,GCA_030371095.1,65.101751,65101751,Positive,1
Ascomycota,GCA_030371145.1,65.595347,65595347,Positive,1
Ascomycota,GCA_030371195.1,65.095653,65095653,Positive,1
Ascomycota,GCA_030371205.1,64.935509,64935509,Positive,1
Ascomycota,GCA_030771935.1,33.068492,33068492,Positive,1
Ascomycota,GCA_030772035.1,32.637308,32637308,Positive,1
Ascomycota,GCA_030772855.1,32.195186,32195186,Positive,1
Ascomycota,GCA_030777585.1,34.874047,34874047,Positive,1
Ascomycota,GCA_030777605.1,32.418113,32418113,Positive,1
Ascomycota,GCA_030777725.1,39.06393,39063930,Positive,1
Ascomycota,GCA_030777905.1,33.834952,33834952,Positive,1
Ascomycota,GCA_030778565.1,33.532212,33532212,Positive,1
Ascomycota,GCA_030786985.1,31.966287,31966287,Positive,1
Ascomycota,GCA_030787925.1,33.297451,33297451,Positive,1
Ascomycota,GCA_032354195.1,33.537015,33537015,Positive,1
Ascomycota,GCA_033030565.1,51.463765,51463765,Positive,1
Ascomycota,GCA_033296975.1,42.45352,42453520,Positive,1
Ascomycota,GCA_034447905.1,52.432523,52432523,Positive,1
Ascomycota,GCA_037040925.1,27.146142,27146142,Positive,1
Ascomycota,GCA_037177735.1,43.702814,43702814,Positive,1
Ascomycota,GCA_037177765.1,45.572402,45572402,Positive,1
Ascomycota,GCA_900232065.1,11.178549,11178549,Positive,1
Ascomycota,GCA_937873235.1,27.09516,27095160,Positive,1
Ascomycota,GCA_954870535.1,42.584452,42584452,Positive,1
Ascomycota,GCA_963974035.1,34.624789,34624789,Positive,1
Ascomycota,GCF_000151355.1,51.927682,51927682,Positive,1
Ascomycota,GCF_000687475.1,37.622617,37622617,Positive,1
Ascomycota,GCF_000836115.1,33.323769,33323769,Positive,1
Ascomycota,GCF_001481775.2,38.382194,38382194,Positive,1
Ascomycota,GCF_001672515.1,51.350067,51350067,Positive,1
Ascomycota,GCF_020726525.1,47.691432,47691432,Positive,2
Ascomycota,GCF_020744255.1,49.898762,49898762,Positive,5
Ascomycota,GCF_021365285.1,38.081648,38081648,Positive,1
Ascomycota,GCF_028827245.1,38.283277,38283277,Positive,1
Ascomycota,GCF_034447905.1,52.432523,52432523,Positive,1
Basidiomycota,GCA_000143565.1,65.688736,65688736,Positive,2
Basidiomycota,GCA_000218685.1,43.332223,43332223,Positive,2
Basidiomycota,GCA_000218725.1,47.582256,47582256,Positive,2
Basidiomycota,GCA_000350255.1,49.293633,49293633,Positive,13
Basidiomycota,GCA_000695385.1,40.321088,40321088,Positive,2
Basidiomycota,GCA_000827195.1,52.850537,52850537,Positive,1
Basidiomycota,GCA_000827335.1,71.895441,71895441,Positive,2
Basidiomycota,GCA_001013415.1,88.776667,88776667,Positive,2
Basidiomycota,GCA_001286725.1,56.729841,56729841,Positive,1
Basidiomycota,GCA_001563735.1,120.525932,120525932,Positive,1
Basidiomycota,GCA_001658105.1,36.554734,36554734,Positive,1
Basidiomycota,GCA_001691775.3,20.334149,20334149,Positive,1
Basidiomycota,GCA_001691785.3,36.469324,36469324,Positive,1
Basidiomycota,GCA_001882365.1,44.331403,44331403,Positive,5
Basidiomycota,GCA_001950495.1,43.573551,43573551,Positive,2
Basidiomycota,GCA_002607745.1,48.735374,48735374,Positive,1
Basidiomycota,GCA_002891375.1,37.861183,37861183,Positive,2
Basidiomycota,GCA_002994825.1,35.897592,35897592,Positive,3
Basidiomycota,GCA_002995015.1,40.64326,40643260,Positive,5
Basidiomycota,GCA_002995055.1,37.568777,37568777,Positive,1
Basidiomycota,GCA_002995065.1,35.460572,35460572,Positive,1
Basidiomycota,GCA_002995115.1,40.131882,40131882,Positive,3
Basidiomycota,GCA_002995175.1,33.618931,33618931,Positive,1
Basidiomycota,GCA_002995195.1,35.935771,35935771,Positive,1
Basidiomycota,GCA_002995215.1,35.342134,35342134,Positive,1
Basidiomycota,GCA_002995235.1,34.934356,34934356,Positive,2
Basidiomycota,GCA_002995245.1,39.045469,39045469,Positive,5
Basidiomycota,GCA_002995275.1,35.238505,35238505,Positive,4
Basidiomycota,GCA_002995395.1,35.648363,35648363,Positive,1
Basidiomycota,GCA_002995415.1,36.588906,36588906,Positive,1
Basidiomycota,GCA_002995455.1,38.154055,38154055,Positive,1
Basidiomycota,GCA_003268435.1,54.224575,54224575,Positive,2
Basidiomycota,GCA_003313085.1,89.479196,89479196,Positive,3
Basidiomycota,GCA_003313625.1,56.412232,56412232,Positive,2
Basidiomycota,GCA_003313715.1,54.276271,54276271,Positive,1
Basidiomycota,GCA_003313725.1,65.614277,65614277,Positive,1
Basidiomycota,GCA_003314665.1,119.839082,119839082,Positive,8
Basidiomycota,GCA_003315975.1,48.685183,48685183,Positive,1
Basidiomycota,GCA_003316035.1,52.366827,52366827,Positive,3
Basidiomycota,GCA_003316165.1,53.240858,53240858,Positive,2
Basidiomycota,GCA_003316205.1,48.482316,48482316,Positive,1
Basidiomycota,GCA_003316345.1,85.505554,85505554,Positive,3
Basidiomycota,GCA_003316565.1,50.511759,50511759,Positive,1
Basidiomycota,GCA_003851025.1,39.508121,39508121,Positive,3
Basidiomycota,GCA_009812315.1,39.80998,39809980,Positive,1
Basidiomycota,GCA_014904895.1,177.956653,177956653,Positive,1
Basidiomycota,GCA_015025155.1,117.352176,117352176,Positive,1
Basidiomycota,GCA_015178965.1,45.29786,45297860,Positive,2
Basidiomycota,GCA_015342405.1,45.572174,45572174,Positive,2
Basidiomycota,GCA_015342435.1,40.475793,40475793,Positive,1
Basidiomycota,GCA_015501075.1,60.205014,60205014,Positive,2
Basidiomycota,GCA_015501605.1,51.525891,51525891,Positive,1
Basidiomycota,GCA_015708795.1,39.931465,39931465,Positive,4
Basidiomycota,GCA_016628565.1,56.015456,56015456,Positive,2
Basidiomycota,GCA_016647625.1,65.784213,65784213,Positive,2
Basidiomycota,GCA_016647755.1,115.635267,115635267,Positive,4
Basidiomycota,GCA_016906535.1,41.212577,41212577,Positive,16
Basidiomycota,GCA_016906555.1,49.00703,49007030,Positive,55
Basidiomycota,GCA_016906575.1,97.494167,97494167,Positive,92
Basidiomycota,GCA_017311305.1,56.536303,56536303,Positive,15
Basidiomycota,GCA_018397855.1,56.531085,56531085,Positive,1
Basidiomycota,GCA_018417955.1,59.801233,59801233,Positive,2
Basidiomycota,GCA_018417965.1,113.301079,113301079,Positive,4
Basidiomycota,GCA_018423875.1,95.030507,95030507,Positive,2
Basidiomycota,GCA_018423945.1,93.981628,93981628,Positive,3
Basidiomycota,GCA_018466975.1,41.930194,41930194,Positive,2
Basidiomycota,GCA_018851285.1,58.050883,58050883,Positive,2
Basidiomycota,GCA_019096195.1,33.920484,33920484,Positive,2
Basidiomycota,GCA_019297585.1,42.093744,42093744,Positive,7
Basidiomycota,GCA_019616325.1,54.126935,54126935,Positive,1
Basidiomycota,GCA_019616345.1,67.852271,67852271,Positive,1
Basidiomycota,GCA_019616945.1,51.057769,51057769,Positive,1
Basidiomycota,GCA_019623705.1,69.966166,69966166,Positive,2
Basidiomycota,GCA_019677335.1,48.367445,48367445,Positive,112
Basidiomycota,GCA_019677355.1,47.879663,47879663,Positive,49
Basidiomycota,GCA_019677385.1,53.126071,53126071,Positive,8
Basidiomycota,GCA_020011035.1,53.869605,53869605,Positive,1
Basidiomycota,GCA_020746845.1,46.367714,46367714,Positive,6
Basidiomycota,GCA_021018865.1,40.817362,40817362,Positive,1
Basidiomycota,GCA_022376515.1,63.763388,63763388,Positive,1
Basidiomycota,GCA_022496215.1,49.136405,49136405,Positive,1
Basidiomycota,GCA_022606075.1,43.399756,43399756,Positive,2
Basidiomycota,GCA_022837065.1,48.083083,48083083,Positive,4
Basidiomycota,GCA_023014405.1,72.064807,72064807,Positive,4
Basidiomycota,GCA_024613125.1,58.722455,58722455,Positive,3
Basidiomycota,GCA_024663395.1,93.684939,93684939,Positive,11
Basidiomycota,GCA_024722335.1,41.924993,41924993,Positive,4
Basidiomycota,GCA_025504695.1,43.97259,43972590,Positive,38
Basidiomycota,GCA_025766275.1,91.445164,91445164,Positive,6
Basidiomycota,GCA_025769875.1,70.889121,70889121,Positive,2
Basidiomycota,GCA_026075535.2,163.053737,163053737,Positive,2
Basidiomycota,GCA_026213095.1,164.665554,164665554,Positive,1
Basidiomycota,GCA_026686785.1,38.129268,38129268,Positive,1
Basidiomycota,GCA_026766895.1,48.733878,48733878,Positive,21
Basidiomycota,GCA_027596045.1,35.665978,35665978,Positive,1
Basidiomycota,GCA_028551635.1,45.083625,45083625,Positive,1
Basidiomycota,GCA_029719445.1,39.169725,39169725,Positive,1
Basidiomycota,GCA_030142035.1,66.173518,66173518,Positive,21
Basidiomycota,GCA_030246685.1,32.74952,32749520,Positive,1
Basidiomycota,GCA_032173475.1,35.959067,35959067,Positive,1
Basidiomycota,GCA_034770285.1,41.296805,41296805,Positive,1
Basidiomycota,GCA_037178675.1,52.525974,52525974,Positive,1
Basidiomycota,GCA_900068935.1,76.30354,76303540,Positive,2
Basidiomycota,GCA_900068955.1,60.255251,60255251,Positive,1
Basidiomycota,GCA_900068985.1,52.659113,52659113,Positive,1
Basidiomycota,GCA_905219545.1,34.744447,34744447,Positive,1
Basidiomycota,GCA_905219565.1,38.575251,38575251,Positive,3
Basidiomycota,GCA_905219575.1,58.544489,58544489,Positive,2
Basidiomycota,GCA_905219585.1,34.058007,34058007,Positive,1
Basidiomycota,GCA_905219605.1,47.030885,47030885,Positive,1
Basidiomycota,GCA_905219615.1,35.639721,35639721,Positive,2
Basidiomycota,GCA_905219635.1,43.270111,43270111,Positive,4
Basidiomycota,GCA_905219645.1,53.530394,53530394,Positive,1
Basidiomycota,GCA_905232135.1,48.361734,48361734,Positive,2
Basidiomycota,GCA_914271495.1,38.879975,38879975,Positive,2
Basidiomycota,GCF_000143565.1,65.688736,65688736,Positive,1
Basidiomycota,GCF_000218685.1,43.332223,43332223,Positive,2
Basidiomycota,GCF_003851025.1,39.508121,39508121,Positive,3
Basidiomycota,GCF_016647625.1,65.784213,65784213,Positive,2
Basidiomycota,GCF_016906535.1,41.212577,41212577,Positive,16
Basidiomycota,GCF_024613125.1,58.722455,58722455,Positive,3
Glomeromycota,GCA_910591835.1,218.774,218774000,Positive,5
Glomeromycota,GCA_910591765.1,197.202,197202000,Positive,1
Glomeromycota,GCA_910591945.1,87.9659,87965900,Positive,4
Neocallimastigomycota,GCA_002104895.1,71.685,71685000,Positive,18
Mucoromycota,GCA_000696975.1,35.8408,35840800,Positive,3
Mucoromycota,GCA_000696995.1,38.4676,38467600,Positive,1
Mucoromycota,GCA_016097735.1,35.1396,35139600,Positive,4
Mucoromycota,GCA_016097715.1,37.6254,37625400,Positive,3
Mucoromycota,GCA_016097755.1,37.7671,37767100,Positive,4
Chytridiomycota,GCA_027604185.1,15.7005,15700500,Positive,3
Neocallimastigomycota,GCA_027248405.1,57.8365,57836500,Positive,1
Glomeromycota,GCA_910591915.1,435.083,435083000,Positive,6
Glomeromycota,GCA_910591775.1,181.574,181574000,Positive,19
Glomeromycota,GCA_910591965.1,293.539,293539000,Positive,6
Glomeromycota,GCA_003547095.1,156.577,156577000,Positive,1
Glomeromycota,GCA_910592215.1,69.8983,69898300,Positive,2
Glomeromycota,GCA_910591825.1,146.163,146163000,Positive,1
Glomeromycota,GCA_009809945.1,773.099,773099000,Positive,10
Glomeromycota,GCA_003550325.1,567.861,567861000,Positive,34
Chytridiomycota,GCA_025399215.1,21.6466,21646600,Positive,1
Glomeromycota,GCA_003550305.1,136.821,136821000,Positive,3
Microsporidiomycota,GCA_003600395.1,5.83509,5835090,Positive,1
Microsporidiomycota,GCA_000760515.2,5.63507,5635070,Positive,1
Neocallimastigomycota,GCA_002104975.1,193.032,193032000,Positive,8
Neocallimastigomycota,GCA_016946835.1,200.97,200970000,Positive,10
Microsporidiomycota,GCA_015832245.1,8.8597,8859700,Positive,1
Microsporidiomycota,GCA_024243955.1,4.5949,4594900,Positive,1
Glomeromycota,GCA_910592205.1,50.0602,50060200,Positive,3
Glomeromycota,GCA_910592345.1,58.4731,58473100,Positive,1
Neocallimastigomycota,GCA_000412615.1,100.954,100954000,Positive,1
Chytridiomycota,GCA_025602905.1,31.5482,31548200,Positive,5
Neocallimastigomycota,GCA_027248865.1,65.2894,65289400,Positive,1
Neocallimastigomycota,GCA_002104945.1,56.4558,56455800,Positive,14
Neocallimastigomycota,GCA_002157105.1,71.0191,71019100,Positive,14
Glomeromycota,GCA_910592135.1,295.994,295994000,Positive,4
Glomeromycota,GCA_910592285.1,353.07,353070000,Positive,14
Glomeromycota,GCA_000439145.3,136.726,136726000,Positive,1
Glomeromycota,GCA_015698045.1,146.836,146836000,Positive,2
Glomeromycota,GCA_910592325.1,147.042,147042000,Positive,18
Zoopagomycota,GCA_001953115.1,102.351,102351000,Positive,5
Zoopagomycota,GCA_001970855.1,77.1248,77124800,Positive,7
Zoopagomycota,GCA_003086715.1,43.532,43532000,Positive,9
Zoopagomycota,GCA_003097675.1,28.0454,28045400,Positive,1
Chytridiomycota,GCA_006535955.1,21.4831,21483100,Positive,2
Chytridiomycota,GCA_027603945.1,15.5855,15585500,Positive,1
Zoopagomycota,GCA_003614735.1,18.2038,18203800,Positive,1
Zoopagomycota,GCA_004114325.1,21.009,21009000,Positive,1
Mucoromycota,GCA_900079185.1,48.7464,48746400,Negative,0
Mucoromycota,GCA_002105175.1,47.4229,47422900,Negative,0
Mucoromycota,GCA_019677255.1,49.4179,49417900,Negative,0
Mucoromycota,GCA_019677225.1,43.5089,43508900,Negative,0
Mucoromycota,GCA_004114255.1,11.1768,11176800,Negative,0
Glomeromycota,GCA_910592055.1,299.808,299808000,Negative,0
Mucoromycota,GCA_016098155.1,37.9231,37923100,Negative,0
Mucoromycota,GCA_016098105.1,34.2329,34232900,Negative,0
Mucoromycota,GCA_026027325.1,36.5337,36533700,Negative,0
Microsporidiomycota,GCA_030386735.1,1.51748,1517480,Negative,0
Chytridiomycota,GCA_018985225.1,10.5497,10549700,Negative,0
Microsporidiomycota,GCA_001875675.1,5.62015,5620150,Negative,0
Microsporidiomycota,GCA_000385875.2,12.1634,12163400,Negative,0
Microsporidiomycota,GCA_007674295.1,3.17138,3171380,Negative,0
Mucoromycota,GCA_014839865.1,34.0798,34079800,Negative,0
Mucoromycota,GCA_002749535.1,39.3223,39322300,Negative,0
Mucoromycota,GCA_025399235.1,48.6483,48648300,Negative,0
Mucoromycota,GCA_024139495.1,46.1128,46112800,Negative,0
Mucoromycota,GCA_024139485.1,45.156,45156000,Negative,0
Mucoromycota,GCA_024139405.1,46.4081,46408100,Negative,0
Mucoromycota,GCA_024139415.1,47.3446,47344600,Negative,0
Mucoromycota,GCA_024139395.1,48.3847,48384700,Negative,0
Mucoromycota,GCA_024140265.1,44.962,44962000,Negative,0
Mucoromycota,GCA_024140195.1,47.9533,47953300,Negative,0
Mucoromycota,GCA_024140565.1,47.5946,47594600,Negative,0
Mucoromycota,GCA_024140155.1,47.8416,47841600,Negative,0
Mucoromycota,GCA_024140375.1,48.3484,48348400,Negative,0
Mucoromycota,GCA_024140245.1,57.6975,57697500,Negative,0
Mucoromycota,GCA_024139275.1,56.3327,56332700,Negative,0
Zoopagomycota,GCA_002104905.1,89.4891,89489100,Negative,0
Zoopagomycota,GCA_000697455.1,44.0538,44053800,Negative,0
Chytridiomycota,GCA_000203795.1,23.8109,23810900,Negative,0
Chytridiomycota,GCA_002006685.2,73.3467,73346700,Negative,0
Mucoromycota,GCA_025766325.1,32.5047,32504700,Negative,0
Mucoromycota,GCA_002261195.1,19.4789,19478900,Negative,0
Mucoromycota,GCA_025331445.1,37.5139,37513900,Negative,0
Chytridiomycota,GCA_027604625.1,46.4683,46468300,Negative,0
Chytridiomycota,GCA_003614705.1,46.4689,46468900,Negative,0
Chytridiomycota,GCA_027604245.1,12.8494,12849400,Negative,0
Chytridiomycota,GCA_027604345.1,14.2413,14241300,Negative,0
Chytridiomycota,GCA_027604605.1,38.3611,38361100,Negative,0
Zoopagomycota,GCA_016630905.1,29.8485,29848500,Negative,0
Zoopagomycota,GCA_001661515.1,24.8459,24845900,Negative,0
Chytridiomycota,GCA_003615045.1,21.7969,21796900,Negative,0
Mucoromycota,GCA_025330725.1,34.3282,34328200,Negative,0
Mucoromycota,GCA_025331435.1,35.1087,35108700,Negative,0
Chytridiomycota,GCA_027604005.1,31.5105,31510500,Negative,0
Chytridiomycota,GCA_027604305.1,26.9485,26948500,Negative,0
Chytridiomycota,GCA_023347005.1,9.03726,9037260,Negative,0
Chytridiomycota,GCA_025449115.1,42.3809,42380900,Negative,0
Chytridiomycota,GCA_027604105.1,29.5159,29515900,Negative,0
Chytridiomycota,GCA_006535975.1,35.9734,35973400,Negative,0
Chytridiomycota,GCA_025201725.1,36.3838,36383800,Negative,0
Chytridiomycota,GCA_025435555.1,38.1034,38103400,Negative,0
Mucoromycota,GCA_016758965.1,54.1796,54179600,Negative,0
Mucoromycota,GCA_025093555.1,51.2701,51270100,Negative,0
Chytridiomycota,GCA_025526935.1,50.6659,50665900,Negative,0
Chytridiomycota,GCA_027604065.1,24.6502,24650200,Negative,0
Zoopagomycota,GCA_004114315.1,16.8412,16841200,Negative,0
Zoopagomycota,GCA_027478935.1,18.5172,18517200,Negative,0
Zoopagomycota,GCA_027478445.1,17.4694,17469400,Negative,0
Zoopagomycota,GCA_027478835.1,11.8015,11801500,Negative,0
Zoopagomycota,GCA_027595785.1,13.2778,13277800,Negative,0
Zoopagomycota,GCA_027595765.1,13.284,13284000,Negative,0
Zoopagomycota,GCA_027595805.1,18.1009,18100900,Negative,0
Zoopagomycota,GCA_027595825.1,18.3123,18312300,Negative,0
Zoopagomycota,GCA_002705745.1,21.8379,21837900,Negative,0
Zoopagomycota,GCA_025766245.1,14.2914,14291400,Negative,0
Zoopagomycota,GCA_025766305.1,18.932,18932000,Negative,0
Mucoromycota,GCA_025118155.1,28.1208,28120800,Negative,0
Zoopagomycota,GCA_001566745.1,39.9037,39903700,Negative,0
Zoopagomycota,GCA_000697335.1,93.8954,93895400,Negative,0
Microsporidiomycota,GCA_014805705.1,32.414,32414000,Negative,0
Mucoromycota,GCA_000697015.1,31.7435,31743500,Negative,0
Mucoromycota,GCA_000697215.1,31.1451,31145100,Negative,0
Mucoromycota,GCA_017871115.1,31.9446,31944600,Negative,0
Mucoromycota,GCA_025201675.1,29.0024,29002400,Negative,0
Mucoromycota,GCA_025716815.1,39.778,39778000,Negative,0
Microsporidiomycota,GCA_016255985.1,2.20598,2205980,Negative,0
Microsporidiomycota,GCA_016256075.1,41.9222,41922200,Negative,0
Zoopagomycota,GCA_027478255.1,39.3717,39371700,Negative,0
Mucoromycota,GCA_025201705.1,38.9426,38942600,Negative,0
Mucoromycota,GCA_016097935.1,39.1648,39164800,Negative,0
Glomeromycota,GCA_910592015.1,65.1115,65111500,Negative,0
Microsporidiomycota,GCA_000230595.3,51.348,51348000,Negative,0
Microsporidiomycota,GCA_000091225.2,2.49752,2497520,Negative,0
Microsporidiomycota,GCA_000146465.1,2.2169,2216900,Negative,0
Microsporidiomycota,GCA_000277815.3,2.25178,2251780,Negative,0
Microsporidiomycota,GCA_000280035.2,2.18759,2187590,Negative,0
Mucoromycota,GCA_003990785.1,95.5527,95552700,Negative,0
Microsporidiomycota,GCA_000209485.1,3.86074,3860740,Negative,0
Microsporidiomycota,GCA_026692725.1,3.11867,3118670,Negative,0
Microsporidiomycota,GCA_024243835.1,6.01612,6016120,Negative,0
Microsporidiomycota,GCA_002087915.1,3.09538,3095380,Negative,0
Zoopagomycota,GCA_014839935.2,1031.19,1031190000,Negative,0
