Name,length,Function,Exognous vs. Endogenous,Phylum
Fusarium_oligoseptatum,226,Rep,Endogenous,Ascomycota
RAXF01000193.1_2_,410,Rep,Endogenous,Ascomycota
RAXN01000241.1_1_,410,Rep,Endogenous,Ascomycota
Fusarium_euwallaceae,410,Rep,Endogenous,Ascomycota
Fusarium_euwallaceae_2,223,Rep,Endogenous,Ascomycota
PQXH01000333.1_13_,186,Rep,Endogenous,Ascomycota
PQXH01000333.1_16_,142,Rep,Endogenous,Ascomycota
Botrytis_tulipae,256,Rep,Endogenous,Ascomycota
PQXL01000533.1_21_,404,Rep,Endogenous,Ascomycota
Botrytis_galanthina,400,Rep,Endogenous,Ascomycota
RAJC01000619.1_3_,112,Rep,Endogenous,Ascomycota
RAJC01000619.1_4_,197,Rep,Endogenous,Ascomycota
RALM01000484.1_3_,112,Rep,Endogenous,Ascomycota
RALM01000484.1_4_,261,Rep,Endogenous,Ascomycota
RAOG01000585.1_1_,54,Rep,Endogenous,Ascomycota
RAOG01000585.1_4_,112,Rep,Endogenous,Ascomycota
RAOG01000585.1_6_,236,Rep,Endogenous,Ascomycota
RAOK01000657.1_3_,112,Rep,Endogenous,Ascomycota
RAOK01000657.1_4_,197,Rep,Endogenous,Ascomycota
RAOS01000772.1_3_,91,Rep,Endogenous,Ascomycota
RAOS01000772.1_4_,242,Rep,Endogenous,Ascomycota
RAOV01000105.1_2_,259,Rep,Endogenous,Ascomycota
RAOV01000105.1_3_,30,Rep,Endogenous,Ascomycota
RAPA01000131.1_3_,91,Rep,Endogenous,Ascomycota
RAPA01000131.1_4_,242,Rep,Endogenous,Ascomycota
RAOZ01000126.1_2_,197,Rep,Endogenous,Ascomycota
RAOZ01000126.1_5_,112,Rep,Endogenous,Ascomycota
RAPC01000183.1_3_,91,Rep,Endogenous,Ascomycota
RAPC01000211.1_1_,204,Rep,Endogenous,Ascomycota
ML977323.1_797_,276,Rep,Endogenous,Ascomycota
Lophiotrema_nucula,310,Rep,Endogenous,Ascomycota
Zopfia_rhizophila_CBS_207.26,114,Rep,Endogenous,Ascomycota
WJIA01001074.1_2_,392,Rep,Endogenous,Ascomycota
MU004554.1_5_,286,Rep,Endogenous,Ascomycota
Lophiostoma_macrostomum_CBS_122681,339,Rep,Endogenous,Ascomycota
WEUB01003057.1_1_,141,Rep,Endogenous,Ascomycota
Fusarium_avenaceum_2,386,Rep,Endogenous,Ascomycota
VCRI01000903.1_3_,167,Rep,Endogenous,Ascomycota
JABVYZ010000532.1_1_,410,Rep,Endogenous,Ascomycota
JABFFI010000555.1_86_,401,Rep,Endogenous,Ascomycota
Tuber_brumale,455,Rep,Endogenous,Ascomycota
Tuber_brumale_2,370,Rep,Endogenous,Ascomycota
Tuber_brumale_3,439,Rep,Endogenous,Ascomycota
Tuber_brumale_4,489,Rep,Endogenous,Ascomycota
Tuber_brumale_5,304,Rep,Endogenous,Ascomycota
Tuber_indicum,359,Rep,Endogenous,Ascomycota
Colletotrichum_musicola,256,Rep,Endogenous,Ascomycota
Colletotrichum_sojae,256,Rep,Endogenous,Ascomycota
JAAVUF010001617.1_1_,299,Rep,Endogenous,Ascomycota
JAAVUF010001922.1_2_,298,Rep,Endogenous,Ascomycota
Trichophaea_hybrida,475,Rep,Endogenous,Ascomycota
Terfezia_claveryi,314,Rep,Endogenous,Ascomycota
Terfezia_claveryi_2,310,Rep,Endogenous,Ascomycota
Terfezia_claveryi_3,454,Rep,Endogenous,Ascomycota
Terfezia_claveryi_4,241,Rep,Endogenous,Ascomycota
JAFFKB010000087.1_164_,98,Rep,Endogenous,Ascomycota
JAFFKB010000087.1_165_,98,Rep,Endogenous,Ascomycota
JAHXJL010000089.1_263_,131,Rep,Endogenous,Ascomycota
JAIBPQ010000692.1_1_,409,Rep,Endogenous,Ascomycota
JAIBQI010001067.1_2_,409,Rep,Endogenous,Ascomycota
JAIBQT010000626.1_1_,333,Rep,Endogenous,Ascomycota
JAIBRL010000421.1_1_,410,Rep,Endogenous,Ascomycota
JAIBRR010002058.1_1_,176,Rep,Endogenous,Ascomycota
JAIBTB010001302.1_1_,245,Rep,Endogenous,Ascomycota
JAIBTE010000323.1_2_,409,Rep,Endogenous,Ascomycota
JAIBUQ010000629.1_2_,409,Rep,Endogenous,Ascomycota
JAIBVN010000928.1_2_,293,Rep,Endogenous,Ascomycota
JAIBXL010000783.1_1_,315,Rep,Endogenous,Ascomycota
Chaetomium_globosum,380,Rep,Endogenous,Ascomycota
Truncatella_angustata,423,Rep,Endogenous,Ascomycota
Truncatella_angustata_2,391,Rep,Endogenous,Ascomycota
Fusarium_avenaceum_3,386,Rep,Endogenous,Ascomycota
JAGTJQ010000002.1_5196_,445,Rep,Endogenous,Ascomycota
JAGTJQ010000002.1_5262_,400,Rep,Endogenous,Ascomycota
JAGTJQ010000002.1_5290_,445,Rep,Endogenous,Ascomycota
JAGTJQ010000002.1_5317_,445,Rep,Endogenous,Ascomycota
JAGTJQ010000002.1_5505_,445,Rep,Endogenous,Ascomycota
Microdochium_trichocladiopsis,411,Rep,Endogenous,Ascomycota
Microdochium_trichocladiopsis_2,401,Rep,Endogenous,Ascomycota
Microdochium_trichocladiopsis_3,401,Rep,Endogenous,Ascomycota
Microdochium_trichocladiopsis_4,401,Rep,Endogenous,Ascomycota
Microdochium_trichocladiopsis_5,401,Rep,Endogenous,Ascomycota
Dactylonectria_macrodidyma,749,Rep,Endogenous,Ascomycota
Dactylonectria_macrodidyma_2,87,Rep,Endogenous,Ascomycota
Fusarium_oxysporum,226,Rep,Endogenous,Ascomycota
Fusarium_tricinctum,381,Rep,Endogenous,Ascomycota
Plectosphaerella_cucumerina,198,Rep,Endogenous,Ascomycota
Truncatella_angustata_3,405,Rep,Endogenous,Ascomycota
Truncatella_angustata_4,409,Rep,Endogenous,Ascomycota
Talaromyces_proteolyticus,224,Rep,Endogenous,Ascomycota
Leptodontidium_sp._2_PMI_412,212,Rep,Endogenous,Ascomycota
Thozetella_sp._PMI_491,241,Rep,Endogenous,Ascomycota
Colletotrichum_liriopes,243,Rep,Endogenous,Ascomycota
BQKT01000571.1_1_,98,Rep,Endogenous,Ascomycota
BQKU01000514.1_1_,98,Rep,Endogenous,Ascomycota
Camillea_tinctor,289,Rep,Endogenous,Ascomycota
Xylaria_arbuscula,371,Rep,Endogenous,Ascomycota
Biscogniauxia_marginata,369,Rep,Endogenous,Ascomycota
Pyrenophora_tritici-repentis,391,Rep,Endogenous,Ascomycota
JAJMXG010004481.1_1_,122,Rep,Endogenous,Ascomycota
JAJMXU010000640.1_1_,127,Rep,Endogenous,Ascomycota
JAJNKG010002113.1_1_,119,Rep,Endogenous,Ascomycota
JAJNKG010003994.1_1_,119,Rep,Endogenous,Ascomycota
JAJNKL010003015.1_1_,76,Rep,Endogenous,Ascomycota
JAJNKW010003040.1_1_,101,Rep,Endogenous,Ascomycota
JAJNLY010004080.1_1_,110,Rep,Endogenous,Ascomycota
BQKX01000002.1_2190_,215,Rep,Endogenous,Ascomycota
BQKX01000002.1_2252_,389,Rep,Endogenous,Ascomycota
BQKX01000002.1_2717_,389,Rep,Endogenous,Ascomycota
BQKX01000008.1_1309_,394,Rep,Endogenous,Ascomycota
BQKX01000008.1_1340_,394,Rep,Endogenous,Ascomycota
BQKX01000008.1_1355_,394,Rep,Endogenous,Ascomycota
BQKX01000008.1_1397_,394,Rep,Endogenous,Ascomycota
Fusarium_oxysporum_f._sp._albedinis,241,Rep,Endogenous,Ascomycota
JAMAKM010000610.1_4_,381,Rep,Endogenous,Ascomycota
JAMAKJ010000671.1_1_,381,Rep,Endogenous,Ascomycota
JAMQMV010000148.1_5_,401,Rep,Endogenous,Ascomycota
Peziza_echinospora,584,Rep,Endogenous,Ascomycota
Morchella_snyderi,371,Rep,Endogenous,Ascomycota
JANAYP010000361.1_1_,410,Rep,Endogenous,Ascomycota
Fusarium_sp._LHS14.1,226,Rep,Endogenous,Ascomycota
JAMFQU010000791.1_4_,381,Rep,Endogenous,Ascomycota
Fusarium_oxysporum_f._sp._albedinis_2,241,Rep,Endogenous,Ascomycota
JAOXNK010003711.1_2_,120,Rep,Endogenous,Ascomycota
Penicillium_angulare,236,Rep,Endogenous,Ascomycota
JANSLN010000007.1_1140_,124,Rep,Endogenous,Ascomycota
Sclerotinia_nivalis,394,Rep,Endogenous,Ascomycota
JAQYUB010001389.1_21_,383,Rep,Endogenous,Ascomycota
JAQYUB010001557.1_4_,228,Rep,Endogenous,Ascomycota
JAQYTZ010000266.1_1174_,373,Rep,Endogenous,Ascomycota
JAQYUA010000246.1_1_,404,Rep,Endogenous,Ascomycota
JAQYUC010000395.1_21_,383,Rep,Endogenous,Ascomycota
JAQYUC010002921.1_2_,228,Rep,Endogenous,Ascomycota
JAQYUD010001425.1_4_,228,Rep,Endogenous,Ascomycota
JAQYUD010001451.1_12_,383,Rep,Endogenous,Ascomycota
JAQYUE010001439.1_4_,228,Rep,Endogenous,Ascomycota
JAQYUE010001647.1_21_,383,Rep,Endogenous,Ascomycota
JAQYUF010002496.1_2_,228,Rep,Endogenous,Ascomycota
JAQYUF010003121.1_25_,383,Rep,Endogenous,Ascomycota
JAQYUG010000420.1_21_,383,Rep,Endogenous,Ascomycota
JAQYUG010003278.1_1_,228,Rep,Endogenous,Ascomycota
JAQYUH010000413.1_21_,383,Rep,Endogenous,Ascomycota
JAQYUH010003119.1_2_,228,Rep,Endogenous,Ascomycota
JAQYUI010000387.1_21_,383,Rep,Endogenous,Ascomycota
JAQYUI010002905.1_2_,228,Rep,Endogenous,Ascomycota
JAQYUJ010000361.1_21_,383,Rep,Endogenous,Ascomycota
JAQYUJ010002679.1_2_,228,Rep,Endogenous,Ascomycota
JAQYUK010002403.1_2_,228,Rep,Endogenous,Ascomycota
JAQYUK010002840.1_21_,383,Rep,Endogenous,Ascomycota
JAQYUL010000381.1_21_,383,Rep,Endogenous,Ascomycota
JAQYUL010002697.1_1_,228,Rep,Endogenous,Ascomycota
JAQYUM010000376.1_21_,383,Rep,Endogenous,Ascomycota
JAQYUM010002890.1_2_,228,Rep,Endogenous,Ascomycota
JAPHBC010000361.1_2_,414,Rep,Endogenous,Ascomycota
JAPHBK010000255.1_1_,414,Rep,Endogenous,Ascomycota
JAPHDE010002223.1_1_,209,Rep,Endogenous,Ascomycota
JAPHDX010002639.1_1_,209,Rep,Endogenous,Ascomycota
JAPHDW010000787.1_2_,209,Rep,Endogenous,Ascomycota
JAPHED010002802.1_1_,388,Rep,Endogenous,Ascomycota
JAPFRZ010000942.1_2_,209,Rep,Endogenous,Ascomycota
JAPFRL010000003.1_1_,414,Rep,Endogenous,Ascomycota
JARJUD010000963.1_1_,414,Rep,Endogenous,Ascomycota
JARJTH010000902.1_1_,414,Rep,Endogenous,Ascomycota
JAPHDI010000240.1_2_,414,Rep,Endogenous,Ascomycota
JAVIXY010000500.1_1_,228,Rep,Endogenous,Ascomycota
Podospora_aff._communis_PSN243,241,Rep,Endogenous,Ascomycota
Podospora_aff._communis_PSN243_2,241,Rep,Endogenous,Ascomycota
Podospora_aff._communis_PSN243_3,241,Rep,Endogenous,Ascomycota
Colletotrichum_destructivum,398,Rep,Endogenous,Ascomycota
JAXQHO010003282.1_1_,401,Rep,Endogenous,Ascomycota
CM074162.1_3975_,463,Rep,Endogenous,Ascomycota
JBANFB010000008.1_703_,463,Rep,Endogenous,Ascomycota
JBANFB010000008.1_809_,448,Rep,Endogenous,Ascomycota
JBANFB010000008.1_837_,448,Rep,Endogenous,Ascomycota
JBANFB010000008.1_933_,463,Rep,Endogenous,Ascomycota
CM074156.1_3981_,463,Rep,Endogenous,Ascomycota
JBANFA010000011.1_598_,448,Rep,Endogenous,Ascomycota
JBANFA010000011.1_704_,448,Rep,Endogenous,Ascomycota
JBANFA010000011.1_731_,448,Rep,Endogenous,Ascomycota
JBANFA010000011.1_827_,463,Rep,Endogenous,Ascomycota
Fusarium_sp._VM40,386,Rep,Endogenous,Ascomycota
CAXBDF010000014.1_212_,245,Rep,Endogenous,Ascomycota
Fusarium_vanettenii_77-13-4_2,223,Rep,Endogenous,Ascomycota
Ustilaginoidea_virens_3,87,Rep,Endogenous,Ascomycota
Exophiala_spinifera_2,202,Rep,Endogenous,Ascomycota
Trichoderma_gamsii_2,178,Rep,Endogenous,Ascomycota
Colletotrichum_higginsianum_IMI_349063_2,259,Rep,Endogenous,Ascomycota
Truncatella_angustata_5,423,Rep,Endogenous,Ascomycota
Truncatella_angustata_6,391,Rep,Endogenous,Ascomycota
NW_025763545.1_5196_,445,Rep,Endogenous,Ascomycota
NW_025763545.1_5262_,400,Rep,Endogenous,Ascomycota
NW_025763545.1_5290_,445,Rep,Endogenous,Ascomycota
NW_025763545.1_5317_,445,Rep,Endogenous,Ascomycota
NW_025763545.1_5505_,445,Rep,Endogenous,Ascomycota
Microdochium_trichocladiopsis_6,411,Rep,Endogenous,Ascomycota
Microdochium_trichocladiopsis_7,401,Rep,Endogenous,Ascomycota
Microdochium_trichocladiopsis_8,401,Rep,Endogenous,Ascomycota
Microdochium_trichocladiopsis_9,401,Rep,Endogenous,Ascomycota
Microdochium_trichocladiopsis_10,401,Rep,Endogenous,Ascomycota
Talaromyces_proteolyticus_2,224,Rep,Endogenous,Ascomycota
Penicillium_angulare_2,236,Rep,Endogenous,Ascomycota
Colletotrichum_destructivum_2,398,Rep,Endogenous,Ascomycota
SSNC01000001.1_5_,343,Rep,Endogenous,Basidiomycota
JAROAW010000022.1_19_,232,Rep,Endogenous,Basidiomycota
Amanita_inopinata_Kibby_2008,459,Rep,Endogenous,Basidiomycota
Amanita_phalloides,235,Rep,Endogenous,Basidiomycota
JAEBUP010000024.1_138_,188,Rep,Endogenous,Basidiomycota
JAEBUP010000031.1_402_,133,Rep,Endogenous,Basidiomycota
JAEBUP010000035.1_200_,164,Rep,Endogenous,Basidiomycota
JAEBUP010000038.1_587_,175,Rep,Endogenous,Basidiomycota
JAEBUT010000042.1_18_,106,Rep,Endogenous,Basidiomycota
Amanita_brunnescens_Koide_BX004,403,Rep,Endogenous,Basidiomycota
QFEM01005849.1_11_,136,Rep,Endogenous,Basidiomycota
QFEF01003425.1_1_,186,Rep,Endogenous,Basidiomycota
QFEF01005774.1_13_,184,Rep,Endogenous,Basidiomycota
QFEF01005774.1_14_,156,Rep,Endogenous,Basidiomycota
Boletus_reticuloceps,92,Rep,Endogenous,Basidiomycota
JAGTXK010000147.1_1_,173,Rep,Endogenous,Basidiomycota
JAGTXK010000147.1_2_,215,Rep,Endogenous,Basidiomycota
QFEJ01003336.1_6_,137,Rep,Endogenous,Basidiomycota
QFEJ01003336.1_7_,181,Rep,Endogenous,Basidiomycota
JAIQWV010000213.1_31_,116,Rep,Endogenous,Basidiomycota
JAIQWV010000213.1_32_,182,Rep,Endogenous,Basidiomycota
JAIQWV010000415.1_5_,157,Rep,Endogenous,Basidiomycota
JAIQWV010000415.1_6_,182,Rep,Endogenous,Basidiomycota
WSLO01000143.1_19_,263,Rep,Endogenous,Basidiomycota
WSLO01000286.1_7_,240,Rep,Endogenous,Basidiomycota
WSLO01000477.1_13_,290,Rep,Endogenous,Basidiomycota
WSLO01000682.1_12_,172,Rep,Endogenous,Basidiomycota
WSLO01000737.1_10_,325,Rep,Endogenous,Basidiomycota
WSLO01004276.1_1_,395,Rep,Endogenous,Basidiomycota
WSLO01008649.1_1_,359,Rep,Endogenous,Basidiomycota
WSLO01008865.1_2_,395,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._395,427,Rep,Endogenous,Basidiomycota
WSLM01000173.1_5_,313,Rep,Endogenous,Basidiomycota
WSLM01000265.1_16_,415,Rep,Endogenous,Basidiomycota
WSLM01000542.1_11_,82,Rep,Endogenous,Basidiomycota
WSLM01000641.1_1_,225,Rep,Endogenous,Basidiomycota
WSLM01000737.1_1_,343,Rep,Endogenous,Basidiomycota
WSLM01000750.1_7_,423,Rep,Endogenous,Basidiomycota
WSLM01000968.1_10_,380,Rep,Endogenous,Basidiomycota
WSLM01001002.1_6_,325,Rep,Endogenous,Basidiomycota
WSLM01001054.1_1_,325,Rep,Endogenous,Basidiomycota
WSLM01001099.1_1_,217,Rep,Endogenous,Basidiomycota
WSLM01001197.1_8_,399,Rep,Endogenous,Basidiomycota
WSLM01001381.1_10_,258,Rep,Endogenous,Basidiomycota
WSLM01001416.1_6_,398,Rep,Endogenous,Basidiomycota
WSLM01001428.1_1_,240,Rep,Endogenous,Basidiomycota
WSLM01001516.1_1_,314,Rep,Endogenous,Basidiomycota
WSLM01001637.1_1_,373,Rep,Endogenous,Basidiomycota
WSLM01001678.1_1_,391,Rep,Endogenous,Basidiomycota
WSLM01001716.1_9_,206,Rep,Endogenous,Basidiomycota
WSLM01001720.1_7_,187,Rep,Endogenous,Basidiomycota
WSLM01001765.1_6_,306,Rep,Endogenous,Basidiomycota
WSLM01001860.1_9_,125,Rep,Endogenous,Basidiomycota
WSLM01001869.1_8_,364,Rep,Endogenous,Basidiomycota
WSLM01001880.1_5_,264,Rep,Endogenous,Basidiomycota
WSLM01001903.1_5_,410,Rep,Endogenous,Basidiomycota
WSLM01001999.1_8_,147,Rep,Endogenous,Basidiomycota
WSLM01002024.1_10_,216,Rep,Endogenous,Basidiomycota
WSLM01002025.1_3_,397,Rep,Endogenous,Basidiomycota
WSLM01002232.1_1_,397,Rep,Endogenous,Basidiomycota
WSLM01002318.1_1_,450,Rep,Endogenous,Basidiomycota
WSLM01002433.1_7_,397,Rep,Endogenous,Basidiomycota
WSLM01002501.1_9_,187,Rep,Endogenous,Basidiomycota
WSLM01002508.1_5_,378,Rep,Endogenous,Basidiomycota
WSLM01002545.1_8_,459,Rep,Endogenous,Basidiomycota
WSLM01002573.1_8_,185,Rep,Endogenous,Basidiomycota
WSLM01002695.1_4_,324,Rep,Endogenous,Basidiomycota
WSLM01002708.1_1_,260,Rep,Endogenous,Basidiomycota
WSLM01002758.1_7_,397,Rep,Endogenous,Basidiomycota
WSLM01002824.1_6_,376,Rep,Endogenous,Basidiomycota
WSLM01002894.1_1_,357,Rep,Endogenous,Basidiomycota
WSLM01002936.1_8_,373,Rep,Endogenous,Basidiomycota
WSLM01002954.1_2_,258,Rep,Endogenous,Basidiomycota
WSLM01002973.1_7_,310,Rep,Endogenous,Basidiomycota
WSLM01002978.1_7_,360,Rep,Endogenous,Basidiomycota
WSLM01003093.1_6_,479,Rep,Endogenous,Basidiomycota
WSLM01003286.1_1_,550,Rep,Endogenous,Basidiomycota
WSLM01003292.1_1_,423,Rep,Endogenous,Basidiomycota
WSLM01003316.1_2_,391,Rep,Endogenous,Basidiomycota
WSLM01003347.1_5_,397,Rep,Endogenous,Basidiomycota
WSLM01003359.1_2_,232,Rep,Endogenous,Basidiomycota
WSLM01003369.1_7_,599,Rep,Endogenous,Basidiomycota
WSLM01003402.1_1_,383,Rep,Endogenous,Basidiomycota
WSLM01003407.1_3_,366,Rep,Endogenous,Basidiomycota
WSLM01003592.1_1_,129,Rep,Endogenous,Basidiomycota
WSLM01003626.1_6_,379,Rep,Endogenous,Basidiomycota
WSLM01003641.1_2_,127,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._414,219,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba,429,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_2,429,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_3,896,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_4,442,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_5,429,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_6,412,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_7,429,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_8,412,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_9,440,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_10,429,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_11,412,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_12,459,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_13,429,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_14,429,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_15,560,Rep,Endogenous,Basidiomycota
WSLM01003644.1_1_,108,Rep,Endogenous,Basidiomycota
WSLM01003701.1_1_,444,Rep,Endogenous,Basidiomycota
WSLM01003769.1_1_,379,Rep,Endogenous,Basidiomycota
WSLM01003777.1_2_,500,Rep,Endogenous,Basidiomycota
WSLM01003795.1_1_,383,Rep,Endogenous,Basidiomycota
WSLM01003821.1_5_,530,Rep,Endogenous,Basidiomycota
WSLM01003835.1_1_,511,Rep,Endogenous,Basidiomycota
WSLM01003934.1_1_,187,Rep,Endogenous,Basidiomycota
WSLM01003938.1_2_,347,Rep,Endogenous,Basidiomycota
WSLM01003994.1_4_,185,Rep,Endogenous,Basidiomycota
WSLM01004011.1_5_,187,Rep,Endogenous,Basidiomycota
WSLM01004039.1_2_,397,Rep,Endogenous,Basidiomycota
WSLM01004136.1_1_,501,Rep,Endogenous,Basidiomycota
WSLM01004186.1_1_,114,Rep,Endogenous,Basidiomycota
WSLM01004248.1_1_,407,Rep,Endogenous,Basidiomycota
WSLM01004311.1_1_,397,Rep,Endogenous,Basidiomycota
WSLM01004346.1_3_,338,Rep,Endogenous,Basidiomycota
WSLM01004476.1_1_,355,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_16,429,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_17,379,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_18,429,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_19,448,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_20,429,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_21,762,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_22,440,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_23,429,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_24,429,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_25,429,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_26,429,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_27,184,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_28,440,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_29,429,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_30,429,Rep,Endogenous,Basidiomycota
Ceratobasidium_sp._AG-Ba_31,367,Rep,Endogenous,Basidiomycota
WSLM01004486.1_5_,186,Rep,Endogenous,Basidiomycota
WSLM01004498.1_4_,396,Rep,Endogenous,Basidiomycota
WSLM01004686.1_1_,480,Rep,Endogenous,Basidiomycota
WSLM01004760.1_5_,187,Rep,Endogenous,Basidiomycota
WSLM01004790.1_4_,363,Rep,Endogenous,Basidiomycota
WSLM01004857.1_5_,187,Rep,Endogenous,Basidiomycota
WSLM01004944.1_5_,367,Rep,Endogenous,Basidiomycota
WSLM01004947.1_5_,129,Rep,Endogenous,Basidiomycota
WSLM01004978.1_5_,187,Rep,Endogenous,Basidiomycota
WSLM01005197.1_2_,364,Rep,Endogenous,Basidiomycota
WSLM01005305.1_1_,210,Rep,Endogenous,Basidiomycota
WSLM01005330.1_1_,373,Rep,Endogenous,Basidiomycota
WSLM01005361.1_1_,338,Rep,Endogenous,Basidiomycota
WSLM01005448.1_1_,187,Rep,Endogenous,Basidiomycota
WSLM01005691.1_1_,397,Rep,Endogenous,Basidiomycota
WSLM01005967.1_1_,185,Rep,Endogenous,Basidiomycota
WSLM01006026.1_2_,423,Rep,Endogenous,Basidiomycota
WSLM01006070.1_1_,378,Rep,Endogenous,Basidiomycota
WSLM01006322.1_1_,185,Rep,Endogenous,Basidiomycota
WSLN01000093.1_18_,310,Rep,Endogenous,Basidiomycota
WSLN01000465.1_19_,262,Rep,Endogenous,Basidiomycota
WSLN01000491.1_5_,129,Rep,Endogenous,Basidiomycota
WSLN01000559.1_2_,146,Rep,Endogenous,Basidiomycota
WSLN01000640.1_6_,129,Rep,Endogenous,Basidiomycota
WSLN01000702.1_4_,185,Rep,Endogenous,Basidiomycota
WSLN01000905.1_12_,368,Rep,Endogenous,Basidiomycota
WSLN01000964.1_8_,262,Rep,Endogenous,Basidiomycota
WSLN01001082.1_9_,262,Rep,Endogenous,Basidiomycota
WSLN01001208.1_12_,129,Rep,Endogenous,Basidiomycota
WSLN01001472.1_8_,372,Rep,Endogenous,Basidiomycota
WSLN01001521.1_1_,273,Rep,Endogenous,Basidiomycota
WSLN01001637.1_2_,341,Rep,Endogenous,Basidiomycota
WSLN01001659.1_9_,215,Rep,Endogenous,Basidiomycota
WSLN01001734.1_8_,73,Rep,Endogenous,Basidiomycota
WSLN01001834.1_6_,372,Rep,Endogenous,Basidiomycota
WSLN01001859.1_1_,306,Rep,Endogenous,Basidiomycota
WSLN01001948.1_6_,408,Rep,Endogenous,Basidiomycota
